FlightDate,IATA_CODE_Reporting_Airline,flight_number,Tail_Number,Origin,OriginCityName,Dest,route,CRSDepTime,scheduled_departure_hour,scheduled_departure_bucket,DepTime,DepDelay,DepDelayMinutes,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,Distance
2024-01-01,UA,UA280.0,N27269,DEN,"Denver, CO",ANC,DEN→ANC,1853,18,evening,1901.0,8.0,8.0,2245,2218.0,-27.0,0.0,False,,False,352.0,317.0,2405.0
2024-01-01,AA,AA1233.0,N410AN,DFW,"Dallas/Fort Worth, TX",ANC,DFW→ANC,1534,15,afternoon,1544.0,10.0,10.0,1945,1936.0,-9.0,0.0,False,,False,431.0,412.0,3043.0
2024-01-01,AS,AS90.0,N614AS,FAI,"Fairbanks, AK",ANC,FAI→ANC,530,5,early_morning,624.0,54.0,54.0,638,735.0,57.0,57.0,False,,False,68.0,71.0,261.0
2024-01-01,AS,AS828.0,N982AK,HNL,"Honolulu, HI",ANC,HNL→ANC,2225,22,night,2241.0,16.0,16.0,530,538.0,8.0,8.0,False,,False,365.0,357.0,2777.0
2024-01-01,AS,AS67.0,N593AS,JNU,"Juneau, AK",ANC,JNU→ANC,2114,21,night,2057.0,-17.0,0.0,2306,2234.0,-32.0,0.0,False,,False,112.0,97.0,571.0
2024-01-01,AS,AS193.0,N281AK,LAX,"Los Angeles, CA",ANC,LAX→ANC,1940,19,evening,1939.0,-1.0,0.0,25,2351.0,-34.0,0.0,False,,False,345.0,312.0,2345.0
2024-01-01,DL,DL390.0,N510DE,MSP,"Minneapolis, MN",ANC,MSP→ANC,1555,15,afternoon,1549.0,-6.0,0.0,1916,1834.0,-42.0,0.0,False,,False,381.0,345.0,2519.0
2024-01-01,AS,AS881.0,N978AK,OGG,"Kahului, HI",ANC,OGG→ANC,2135,21,night,2122.0,-13.0,0.0,437,432.0,-5.0,0.0,False,,False,362.0,370.0,2797.0
2024-01-01,UA,UA1325.0,N37567,ORD,"Chicago, IL",ANC,ORD→ANC,1600,16,evening,1553.0,-7.0,0.0,1954,2246.0,,,False,,True,414.0,,2846.0
2024-01-01,AS,AS57.0,N586AS,PHX,"Phoenix, AZ",ANC,PHX→ANC,1835,18,evening,1826.0,-9.0,0.0,2243,2215.0,-28.0,0.0,False,,False,368.0,349.0,2552.0
2024-01-01,AS,AS107.0,N592AS,SEA,"Seattle, WA",ANC,SEA→ANC,2255,22,night,2306.0,11.0,11.0,141,118.0,-23.0,0.0,False,,False,226.0,192.0,1448.0
2024-01-01,AS,AS109.0,N531AS,SEA,"Seattle, WA",ANC,SEA→ANC,1754,17,evening,1927.0,93.0,93.0,2044,2159.0,75.0,75.0,False,,False,230.0,212.0,1448.0
2024-01-01,AS,AS131.0,N611AS,SEA,"Seattle, WA",ANC,SEA→ANC,1435,14,afternoon,1430.0,-5.0,0.0,1725,1659.0,-26.0,0.0,False,,False,230.0,209.0,1448.0
2024-01-01,AS,AS135.0,N270AK,SEA,"Seattle, WA",ANC,SEA→ANC,2145,21,night,2145.0,0.0,0.0,35,1.0,-34.0,0.0,False,,False,230.0,196.0,1448.0
2024-01-01,AS,AS173.0,N952AK,SEA,"Seattle, WA",ANC,SEA→ANC,555,5,early_morning,548.0,-7.0,0.0,842,836.0,-6.0,0.0,False,,False,227.0,228.0,1448.0
2024-01-01,AS,AS175.0,N983AK,SEA,"Seattle, WA",ANC,SEA→ANC,1220,12,afternoon,1214.0,-6.0,0.0,1510,1438.0,-32.0,0.0,False,,False,230.0,204.0,1448.0
2024-01-01,AS,AS189.0,N277AK,SEA,"Seattle, WA",ANC,SEA→ANC,1320,13,afternoon,1319.0,-1.0,0.0,1610,1533.0,-37.0,0.0,False,,False,230.0,194.0,1448.0
2024-01-01,AS,AS275.0,N288AK,SEA,"Seattle, WA",ANC,SEA→ANC,1555,15,afternoon,1558.0,3.0,3.0,1845,1824.0,-21.0,0.0,False,,False,230.0,206.0,1448.0
2024-01-01,AS,AS49.0,N607AS,SEA,"Seattle, WA",ANC,SEA→ANC,945,9,late_morning,942.0,-3.0,0.0,1237,1219.0,-18.0,0.0,False,,False,232.0,217.0,1448.0
2024-01-01,AS,AS59.0,N585AS,SEA,"Seattle, WA",ANC,SEA→ANC,808,8,early_morning,759.0,-9.0,0.0,1100,1033.0,-27.0,0.0,False,,False,232.0,214.0,1448.0
2024-01-01,AS,AS83.0,N318AS,SEA,"Seattle, WA",ANC,SEA→ANC,908,9,late_morning,929.0,21.0,21.0,1200,1204.0,4.0,4.0,False,,False,232.0,215.0,1448.0
2024-01-01,AS,AS85.0,N526AS,SEA,"Seattle, WA",ANC,SEA→ANC,659,6,early_morning,650.0,-9.0,0.0,946,922.0,-24.0,0.0,False,,False,227.0,212.0,1448.0
2024-01-01,AS,AS93.0,N589AS,SEA,"Seattle, WA",ANC,SEA→ANC,1100,11,late_morning,1118.0,18.0,18.0,1352,1403.0,11.0,11.0,False,,False,232.0,225.0,1448.0
2024-01-01,DL,DL415.0,N318DU,SEA,"Seattle, WA",ANC,SEA→ANC,1849,18,evening,1952.0,63.0,63.0,2135,2224.0,49.0,49.0,False,,False,226.0,212.0,1448.0
2024-01-01,DL,DL741.0,N126DU,SEA,"Seattle, WA",ANC,SEA→ANC,959,9,late_morning,1122.0,83.0,83.0,1257,1358.0,61.0,61.0,False,,False,238.0,216.0,1448.0
2024-01-01,DL,DL854.0,N887DN,SEA,"Seattle, WA",ANC,SEA→ANC,1217,12,afternoon,1210.0,-7.0,0.0,1503,1440.0,-23.0,0.0,False,,False,226.0,210.0,1448.0
2024-01-02,AS,AS88.0,N577AS,ADQ,"Kodiak, AK",ANC,ADQ→ANC,1330,13,afternoon,1321.0,-9.0,0.0,1430,1421.0,-9.0,0.0,False,,False,60.0,60.0,253.0
2024-01-02,AS,AS44.0,N569AS,BET,"Bethel, AK",ANC,BET→ANC,1239,12,afternoon,1239.0,0.0,0.0,1352,1344.0,-8.0,0.0,False,,False,73.0,65.0,399.0
2024-01-02,AS,AS46.0,N513AS,BET,"Bethel, AK",ANC,BET→ANC,1926,19,evening,1928.0,2.0,2.0,2038,2039.0,1.0,1.0,False,,False,72.0,71.0,399.0
2024-01-02,AS,AS50.0,N569AS,BRW,"Barrow, AK",ANC,BRW→ANC,1745,17,evening,,,,1936,,,,True,B,False,111.0,,725.0
2024-01-02,AS,AS61.0,N513AS,CDV,"Cordova, AK",ANC,CDV→ANC,1345,13,afternoon,1322.0,-23.0,0.0,1437,1402.0,-35.0,0.0,False,,False,52.0,40.0,160.0
2024-01-02,UA,UA280.0,N17322,DEN,"Denver, CO",ANC,DEN→ANC,1853,18,evening,1842.0,-11.0,0.0,2245,2216.0,-29.0,0.0,False,,False,352.0,334.0,2405.0
2024-01-02,AA,AA1233.0,N447AN,DFW,"Dallas/Fort Worth, TX",ANC,DFW→ANC,1530,15,afternoon,1527.0,-3.0,0.0,1941,1910.0,-31.0,0.0,False,,False,431.0,403.0,3043.0
2024-01-02,AS,AS90.0,N611AS,FAI,"Fairbanks, AK",ANC,FAI→ANC,530,5,early_morning,514.0,-16.0,0.0,638,622.0,-16.0,0.0,False,,False,68.0,68.0,261.0
2024-01-02,AS,AS828.0,N920AK,HNL,"Honolulu, HI",ANC,HNL→ANC,2225,22,night,2217.0,-8.0,0.0,530,453.0,-37.0,0.0,False,,False,365.0,336.0,2777.0
