level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,ANC,,,,,,,2024-01-01,2024-12-31,18545,18251,294,27,0.015853,879,0.048162,124,0.006794,4.6,-3.0,37.0,12.13,0.0,35.0,3667,0.20092,2079,0.113912,880,0.048217,-0.62,0.0,122,0.05685,8,0.00885
origin_route,ANC,ADK,,,ADK→ANC,,,2024-01-01,2024-12-31,104,96,8,0,0.076923,5,0.052083,1,0.010417,-6.83,-14.0,30.0,11.95,0.0,34.0,17,0.177083,11,0.114583,5,0.052083,0.7,0.0,0,0.0,0,0.0
origin_route,ANC,ADQ,,,ADQ→ANC,,,2024-01-01,2024-12-31,816,799,17,0,0.020833,39,0.048811,9,0.011264,1.35,-10.0,29.0,11.58,0.0,29.0,111,0.138924,75,0.093867,41,0.051314,-0.06,0.0,0,0.0,0,0.0
origin_route,ANC,AKN,,,AKN→ANC,,,2024-01-01,2024-12-31,178,177,1,0,0.005618,4,0.022599,0,0.0,-3.27,-8.0,21.4,4.95,0.0,20.8,21,0.118644,8,0.045198,2,0.011299,-2.02,0.0,0,0.0,0,0.0
origin_route,ANC,ATL,,,ATL→ANC,,,2024-01-01,2024-12-31,109,105,4,0,0.036697,10,0.095238,1,0.009524,19.91,8.0,58.0,17.28,4.0,55.6,30,0.285714,18,0.171429,8,0.07619,-5.12,0.0,0,0.0,0,0.0
origin_route,ANC,BET,,,BET→ANC,,,2024-01-01,2024-12-31,726,718,8,0,0.011019,50,0.069638,7,0.009749,12.03,3.0,45.0,13.74,0.0,39.0,172,0.239554,94,0.130919,46,0.064067,-2.36,0.0,0,0.0,0,0.0
origin_route,ANC,BRW,,,BRW→ANC,,,2024-01-01,2024-12-31,364,345,19,0,0.052198,20,0.057971,4,0.011594,11.36,3.0,44.4,14.59,0.0,41.6,94,0.272464,51,0.147826,15,0.043478,-1.19,0.0,0,0.0,0,0.0
origin_route,ANC,CDV,,,CDV→ANC,,,2024-01-01,2024-12-31,363,351,12,0,0.033058,16,0.045584,2,0.005698,3.19,-5.0,36.0,10.32,0.0,33.0,60,0.17094,39,0.111111,13,0.037037,-1.26,0.0,0,0.0,0,0.0
origin_route,ANC,DEN,,,DEN→ANC,,,2024-01-01,2024-12-31,604,601,3,3,0.004967,20,0.033278,2,0.003328,1.04,-6.0,26.3,10.88,0.0,27.0,104,0.173045,53,0.088186,23,0.03827,1.03,0.0,9,0.163636,0,0.0
origin_route,ANC,DFW,,,DFW→ANC,,,2024-01-01,2024-12-31,381,379,2,1,0.005249,31,0.081794,8,0.021108,18.36,4.0,52.9,25.15,5.0,59.6,121,0.319261,81,0.21372,38,0.100264,0.7,0.0,6,0.068966,0,0.0
origin_route,ANC,DLG,,,DLG→ANC,,,2024-01-01,2024-12-31,110,107,3,0,0.027273,8,0.074766,4,0.037383,3.52,-13.0,25.8,13.84,0.0,23.0,13,0.121495,9,0.084112,7,0.065421,-1.67,0.0,0,0.0,0,0.0
origin_route,ANC,DTW,,,DTW→ANC,,,2024-01-01,2024-12-31,45,43,2,1,0.044444,7,0.162791,3,0.069767,21.86,0.0,84.0,37.33,12.0,103.8,18,0.418605,13,0.302326,11,0.255814,7.79,2.5,2,0.153846,1,0.090909
origin_route,ANC,EWR,,,EWR→ANC,,,2024-01-01,2024-12-31,103,101,2,0,0.019417,14,0.138614,4,0.039604,21.91,1.0,80.0,34.52,0.0,80.0,32,0.316832,24,0.237624,15,0.148515,2.32,0.0,6,0.230769,2,0.125
origin_route,ANC,FAI,,,FAI→ANC,,,2024-01-01,2024-12-31,790,782,8,2,0.010127,23,0.029412,2,0.002558,-3.07,-8.0,13.1,5.39,0.0,7.0,57,0.07289,39,0.049872,21,0.026854,-0.95,0.0,1,0.025,0,0.0
origin_route,ANC,HNL,,,HNL→ANC,,,2024-01-01,2024-12-31,366,356,10,1,0.027322,32,0.089888,7,0.019663,2.31,-9.0,48.6,18.34,0.0,58.2,83,0.233146,59,0.16573,34,0.095506,2.56,0.0,5,0.084746,0,0.0
origin_route,ANC,IAD,,,IAD→ANC,,,2024-01-01,2024-12-31,103,99,4,0,0.038835,1,0.010101,0,0.0,-6.23,-11.0,23.0,6.98,0.0,22.2,15,0.151515,6,0.060606,1,0.010101,0.6,0.0,1,0.166667,0,0.0
origin_route,ANC,IAH,,,IAH→ANC,,,2024-01-01,2024-12-31,126,124,2,0,0.015873,7,0.056452,0,0.0,5.49,-2.5,32.4,8.87,0.0,25.5,18,0.145161,12,0.096774,5,0.040323,-2.82,0.0,0,0.0,0,0.0
origin_route,ANC,JFK,,,JFK→ANC,,,2024-01-01,2024-12-31,68,68,0,0,0.0,2,0.029412,1,0.014706,0.76,-8.0,23.1,7.24,0.0,6.3,5,0.073529,4,0.058824,2,0.029412,-3.5,0.0,0,0.0,0,0.0
origin_route,ANC,JNU,,,JNU→ANC,,,2024-01-01,2024-12-31,1218,1196,22,0,0.018062,55,0.045987,15,0.012542,-1.66,-12.0,27.0,9.36,0.0,23.0,153,0.127926,97,0.081104,56,0.046823,-1.03,0.0,0,0.0,0,0.0
origin_route,ANC,KOA,,,KOA→ANC,,,2024-01-01,2024-12-31,92,87,5,1,0.054348,8,0.091954,2,0.022989,6.34,-5.5,47.0,19.7,0.5,46.5,25,0.287356,14,0.16092,7,0.08046,2.92,0.0,2,0.133333,0,0.0
origin_route,ANC,LAS,,,LAS→ANC,,,2024-01-01,2024-12-31,117,115,2,1,0.017094,16,0.13913,0,0.0,19.32,11.5,65.0,26.09,14.0,76.7,54,0.469565,36,0.313043,20,0.173913,1.46,0.0,3,0.083333,1,0.05
origin_route,ANC,LAX,,,LAX→ANC,,,2024-01-01,2024-12-31,348,341,7,1,0.020115,11,0.032258,0,0.0,4.63,0.0,37.0,10.01,0.0,24.1,54,0.158358,27,0.079179,9,0.026393,-2.42,0.0,1,0.037037,0,0.0
origin_route,ANC,MSP,,,MSP→ANC,,,2024-01-01,2024-12-31,655,649,6,0,0.00916,25,0.038521,5,0.007704,4.23,-5.0,35.2,14.34,0.0,35.0,129,0.198767,76,0.117103,33,0.050847,0.84,0.0,8,0.101266,0,0.0
origin_route,ANC,OGG,,,OGG→ANC,,,2024-01-01,2024-12-31,33,28,5,2,0.151515,2,0.071429,1,0.035714,14.81,-1.0,37.5,24.62,1.0,60.5,6,0.214286,4,0.142857,3,0.107143,2.88,0.0,0,0.0,1,0.333333
origin_route,ANC,OME,,,OME→ANC,,,2024-01-01,2024-12-31,303,296,7,0,0.023102,11,0.037162,1,0.003378,4.13,-3.0,31.0,8.48,0.0,27.0,49,0.165541,25,0.084459,10,0.033784,-2.38,0.0,0,0.0,0,0.0
origin_route,ANC,ORD,,,ORD→ANC,,,2024-01-01,2024-12-31,783,780,3,4,0.003831,47,0.060256,4,0.005128,4.33,-5.0,42.0,14.59,0.0,43.0,188,0.241026,110,0.141026,53,0.067949,0.71,0.0,14,0.119658,0,0.0
origin_route,ANC,OTZ,,,OTZ→ANC,,,2024-01-01,2024-12-31,365,343,22,0,0.060274,11,0.03207,3,0.008746,-1.22,-10.0,15.8,7.96,0.0,15.6,35,0.102041,24,0.069971,9,0.026239,-0.73,0.0,0,0.0,0,0.0
origin_route,ANC,PDX,,,PDX→ANC,,,2024-01-01,2024-12-31,359,352,7,1,0.019499,10,0.028409,0,0.0,3.71,1.0,27.0,6.96,0.0,22.0,53,0.150568,23,0.065341,7,0.019886,-2.73,0.0,0,0.0,0,0.0
origin_route,ANC,PHX,,,PHX→ANC,,,2024-01-01,2024-12-31,353,347,6,1,0.016997,22,0.063401,1,0.002882,6.21,0.0,46.5,12.21,0.0,41.5,82,0.236311,49,0.14121,18,0.051873,-1.88,0.0,5,0.096154,0,0.0
origin_route,ANC,SAN,,,SAN→ANC,,,2024-01-01,2024-12-31,20,20,0,0,0.0,1,0.05,0,0.0,-2.2,-5.5,12.3,9.15,1.5,25.6,5,0.25,2,0.1,1,0.05,2.95,0.0,1,0.5,0,0.0
origin_route,ANC,SCC,,,SCC→ANC,,,2024-01-01,2024-12-31,569,551,18,0,0.031634,18,0.032668,5,0.009074,-8.26,-17.0,19.0,7.42,0.0,14.0,54,0.098004,35,0.063521,20,0.036298,-0.35,0.0,0,0.0,0,0.0
origin_route,ANC,SEA,,,SEA→ANC,,,2024-01-01,2024-12-31,7590,7516,74,8,0.00975,332,0.044172,29,0.003858,6.32,0.0,38.0,12.31,1.0,35.0,1723,0.229244,913,0.121474,327,0.043507,-0.69,0.0,53,0.056204,3,0.008902
origin_route,ANC,SFO,,,SFO→ANC,,,2024-01-01,2024-12-31,264,263,1,0,0.003788,19,0.072243,3,0.011407,9.15,0.0,45.8,13.87,0.0,42.8,58,0.220532,36,0.136882,18,0.068441,-2.12,0.0,2,0.055556,0,0.0
origin_route,ANC,SLC,,,SLC→ANC,,,2024-01-01,2024-12-31,120,116,4,0,0.033333,2,0.017241,0,0.0,2.41,-1.0,28.5,9.27,0.0,30.5,28,0.241379,12,0.103448,2,0.017241,1.21,0.0,3,0.230769,0,0.0
origin_airline_route,ANC,ADK,AS,,ADK→ANC AS,,,2024-01-01,2024-12-31,104,96,8,0,0.076923,5,0.052083,1,0.010417,-6.83,-14.0,30.0,11.95,0.0,34.0,17,0.177083,11,0.114583,5,0.052083,0.7,0.0,0,0.0,0,0.0
origin_airline_route,ANC,ADQ,AS,,ADQ→ANC AS,,,2024-01-01,2024-12-31,816,799,17,0,0.020833,39,0.048811,9,0.011264,1.35,-10.0,29.0,11.58,0.0,29.0,111,0.138924,75,0.093867,41,0.051314,-0.06,0.0,0,0.0,0,0.0
origin_airline_route,ANC,AKN,AS,,AKN→ANC AS,,,2024-01-01,2024-12-31,178,177,1,0,0.005618,4,0.022599,0,0.0,-3.27,-8.0,21.4,4.95,0.0,20.8,21,0.118644,8,0.045198,2,0.011299,-2.02,0.0,0,0.0,0,0.0
origin_airline_route,ANC,ATL,DL,,ATL→ANC DL,,,2024-01-01,2024-12-31,109,105,4,0,0.036697,10,0.095238,1,0.009524,19.91,8.0,58.0,17.28,4.0,55.6,30,0.285714,18,0.171429,8,0.07619,-5.12,0.0,0,0.0,0,0.0
origin_airline_route,ANC,BET,AS,,BET→ANC AS,,,2024-01-01,2024-12-31,726,718,8,0,0.011019,50,0.069638,7,0.009749,12.03,3.0,45.0,13.74,0.0,39.0,172,0.239554,94,0.130919,46,0.064067,-2.36,0.0,0,0.0,0,0.0
origin_airline_route,ANC,BRW,AS,,BRW→ANC AS,,,2024-01-01,2024-12-31,364,345,19,0,0.052198,20,0.057971,4,0.011594,11.36,3.0,44.4,14.59,0.0,41.6,94,0.272464,51,0.147826,15,0.043478,-1.19,0.0,0,0.0,0,0.0
origin_airline_route,ANC,CDV,AS,,CDV→ANC AS,,,2024-01-01,2024-12-31,363,351,12,0,0.033058,16,0.045584,2,0.005698,3.19,-5.0,36.0,10.32,0.0,33.0,60,0.17094,39,0.111111,13,0.037037,-1.26,0.0,0,0.0,0,0.0
origin_airline_route,ANC,DEN,AS,,DEN→ANC AS,,,2024-01-01,2024-12-31,135,134,1,0,0.007407,8,0.059701,1,0.007463,4.69,-4.0,21.7,9.97,0.0,17.7,15,0.11194,10,0.074627,7,0.052239,-1.84,0.0,0,0.0,0,0.0
origin_airline_route,ANC,DEN,UA,,DEN→ANC UA,,,2024-01-01,2024-12-31,469,467,2,3,0.004264,12,0.025696,1,0.002141,-0.02,-6.0,26.7,11.14,1.0,28.7,89,0.190578,43,0.092077,16,0.034261,1.86,0.0,9,0.2,0,0.0
origin_airline_route,ANC,DFW,AA,,DFW→ANC AA,,,2024-01-01,2024-12-31,381,379,2,1,0.005249,31,0.081794,8,0.021108,18.36,4.0,52.9,25.15,5.0,59.6,121,0.319261,81,0.21372,38,0.100264,0.7,0.0,6,0.068966,0,0.0
origin_airline_route,ANC,DLG,AS,,DLG→ANC AS,,,2024-01-01,2024-12-31,110,107,3,0,0.027273,8,0.074766,4,0.037383,3.52,-13.0,25.8,13.84,0.0,23.0,13,0.121495,9,0.084112,7,0.065421,-1.67,0.0,0,0.0,0,0.0
origin_airline_route,ANC,DTW,DL,,DTW→ANC DL,,,2024-01-01,2024-12-31,45,43,2,1,0.044444,7,0.162791,3,0.069767,21.86,0.0,84.0,37.33,12.0,103.8,18,0.418605,13,0.302326,11,0.255814,7.79,2.5,2,0.153846,1,0.090909
origin_airline_route,ANC,EWR,UA,,EWR→ANC UA,,,2024-01-01,2024-12-31,103,101,2,0,0.019417,14,0.138614,4,0.039604,21.91,1.0,80.0,34.52,0.0,80.0,32,0.316832,24,0.237624,15,0.148515,2.32,0.0,6,0.230769,2,0.125
origin_airline_route,ANC,FAI,AS,,FAI→ANC AS,,,2024-01-01,2024-12-31,790,782,8,2,0.010127,23,0.029412,2,0.002558,-3.07,-8.0,13.1,5.39,0.0,7.0,57,0.07289,39,0.049872,21,0.026854,-0.95,0.0,1,0.025,0,0.0
origin_airline_route,ANC,HNL,AS,,HNL→ANC AS,,,2024-01-01,2024-12-31,366,356,10,1,0.027322,32,0.089888,7,0.019663,2.31,-9.0,48.6,18.34,0.0,58.2,83,0.233146,59,0.16573,34,0.095506,2.56,0.0,5,0.084746,0,0.0
origin_airline_route,ANC,IAD,UA,,IAD→ANC UA,,,2024-01-01,2024-12-31,103,99,4,0,0.038835,1,0.010101,0,0.0,-6.23,-11.0,23.0,6.98,0.0,22.2,15,0.151515,6,0.060606,1,0.010101,0.6,0.0,1,0.166667,0,0.0
origin_airline_route,ANC,IAH,UA,,IAH→ANC UA,,,2024-01-01,2024-12-31,126,124,2,0,0.015873,7,0.056452,0,0.0,5.49,-2.5,32.4,8.87,0.0,25.5,18,0.145161,12,0.096774,5,0.040323,-2.82,0.0,0,0.0,0,0.0
origin_airline_route,ANC,JFK,AS,,JFK→ANC AS,,,2024-01-01,2024-12-31,68,68,0,0,0.0,2,0.029412,1,0.014706,0.76,-8.0,23.1,7.24,0.0,6.3,5,0.073529,4,0.058824,2,0.029412,-3.5,0.0,0,0.0,0,0.0
origin_airline_route,ANC,JNU,AS,,JNU→ANC AS,,,2024-01-01,2024-12-31,1218,1196,22,0,0.018062,55,0.045987,15,0.012542,-1.66,-12.0,27.0,9.36,0.0,23.0,153,0.127926,97,0.081104,56,0.046823,-1.03,0.0,0,0.0,0,0.0
origin_airline_route,ANC,KOA,AS,,KOA→ANC AS,,,2024-01-01,2024-12-31,92,87,5,1,0.054348,8,0.091954,2,0.022989,6.34,-5.5,47.0,19.7,0.5,46.5,25,0.287356,14,0.16092,7,0.08046,2.92,0.0,2,0.133333,0,0.0
origin_airline_route,ANC,LAS,AS,,LAS→ANC AS,,,2024-01-01,2024-12-31,117,115,2,1,0.017094,16,0.13913,0,0.0,19.32,11.5,65.0,26.09,14.0,76.7,54,0.469565,36,0.313043,20,0.173913,1.46,0.0,3,0.083333,1,0.05
origin_airline_route,ANC,LAX,AS,,LAX→ANC AS,,,2024-01-01,2024-12-31,348,341,7,1,0.020115,11,0.032258,0,0.0,4.63,0.0,37.0,10.01,0.0,24.1,54,0.158358,27,0.079179,9,0.026393,-2.42,0.0,1,0.037037,0,0.0
origin_airline_route,ANC,MSP,AS,,MSP→ANC AS,,,2024-01-01,2024-12-31,79,78,1,0,0.012658,1,0.012821,0,0.0,6.54,6.0,37.2,12.41,1.0,43.3,24,0.307692,12,0.153846,2,0.025641,0.27,0.0,0,0.0,0,0.0
origin_airline_route,ANC,MSP,DL,,MSP→ANC DL,,,2024-01-01,2024-12-31,576,571,5,0,0.008681,24,0.042032,5,0.008757,3.92,-5.0,34.0,14.61,0.0,33.0,105,0.183888,64,0.112084,31,0.054291,0.92,0.0,8,0.119403,0,0.0
origin_airline_route,ANC,OGG,AS,,OGG→ANC AS,,,2024-01-01,2024-12-31,33,28,5,2,0.151515,2,0.071429,1,0.035714,14.81,-1.0,37.5,24.62,1.0,60.5,6,0.214286,4,0.142857,3,0.107143,2.88,0.0,0,0.0,1,0.333333
origin_airline_route,ANC,OME,AS,,OME→ANC AS,,,2024-01-01,2024-12-31,303,296,7,0,0.023102,11,0.037162,1,0.003378,4.13,-3.0,31.0,8.48,0.0,27.0,49,0.165541,25,0.084459,10,0.033784,-2.38,0.0,0,0.0,0,0.0
origin_airline_route,ANC,ORD,AA,,ORD→ANC AA,,,2024-01-01,2024-12-31,121,121,0,1,0.0,7,0.057851,0,0.0,14.15,4.0,52.1,16.03,3.0,50.3,38,0.31405,22,0.181818,9,0.07438,-1.73,0.0,3,0.136364,0,0.0
origin_airline_route,ANC,ORD,AS,,ORD→ANC AS,,,2024-01-01,2024-12-31,285,283,2,2,0.007018,17,0.060071,2,0.007067,7.12,-2.0,42.0,16.72,1.0,52.0,83,0.293286,46,0.162544,21,0.074205,1.21,0.0,3,0.06,0,0.0
origin_airline_route,ANC,ORD,UA,,ORD→ANC UA,,,2024-01-01,2024-12-31,377,376,1,1,0.002653,23,0.06117,2,0.005319,-0.9,-10.0,29.6,12.52,0.0,32.2,67,0.178191,42,0.111702,23,0.06117,1.11,0.0,8,0.177778,0,0.0
origin_airline_route,ANC,OTZ,AS,,OTZ→ANC AS,,,2024-01-01,2024-12-31,365,343,22,0,0.060274,11,0.03207,3,0.008746,-1.22,-10.0,15.8,7.96,0.0,15.6,35,0.102041,24,0.069971,9,0.026239,-0.73,0.0,0,0.0,0,0.0
origin_airline_route,ANC,PDX,AS,,PDX→ANC AS,,,2024-01-01,2024-12-31,359,352,7,1,0.019499,10,0.028409,0,0.0,3.71,1.0,27.0,6.96,0.0,22.0,53,0.150568,23,0.065341,7,0.019886,-2.73,0.0,0,0.0,0,0.0
origin_airline_route,ANC,PHX,AS,,PHX→ANC AS,,,2024-01-01,2024-12-31,353,347,6,1,0.016997,22,0.063401,1,0.002882,6.21,0.0,46.5,12.21,0.0,41.5,82,0.236311,49,0.14121,18,0.051873,-1.88,0.0,5,0.096154,0,0.0
origin_airline_route,ANC,SAN,AS,,SAN→ANC AS,,,2024-01-01,2024-12-31,20,20,0,0,0.0,1,0.05,0,0.0,-2.2,-5.5,12.3,9.15,1.5,25.6,5,0.25,2,0.1,1,0.05,2.95,0.0,1,0.5,0,0.0
origin_airline_route,ANC,SCC,AS,,SCC→ANC AS,,,2024-01-01,2024-12-31,569,551,18,0,0.031634,18,0.032668,5,0.009074,-8.26,-17.0,19.0,7.42,0.0,14.0,54,0.098004,35,0.063521,20,0.036298,-0.35,0.0,0,0.0,0,0.0
