level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,ATL,,,,,,,2024-01-01,2024-12-31,341825,338246,3579,562,0.01047,21047,0.062224,5269,0.015577,4.67,-8.0,35.0,14.34,0.0,35.0,57135,0.168916,37530,0.110955,20940,0.061908,0.15,0.0,1310,0.034073,28,0.001315
origin_route,ATL,ABE,,,ABE→ATL,,,2024-01-01,2024-12-31,1017,1003,14,2,0.013766,62,0.061815,17,0.016949,0.67,-13.0,30.0,13.65,0.0,30.0,142,0.141575,99,0.098704,63,0.062812,-0.15,0.0,2,0.019802,0,0.0
origin_route,ATL,ABQ,,,ABQ→ATL,,,2024-01-01,2024-12-31,953,945,8,3,0.008395,22,0.02328,4,0.004233,-3.9,-11.0,16.0,6.73,0.0,15.0,94,0.099471,49,0.051852,24,0.025397,-0.43,0.0,3,0.061224,0,0.0
origin_route,ATL,ABY,,,ABY→ATL,,,2024-01-01,2024-12-31,765,758,7,1,0.00915,78,0.102902,25,0.032982,15.91,-4.0,68.0,22.75,0.0,62.4,141,0.186016,116,0.153034,79,0.104222,-1.0,0.0,2,0.016949,0,0.0
origin_route,ATL,AEX,,,AEX→ATL,,,2024-01-01,2024-12-31,878,869,9,1,0.010251,68,0.078251,28,0.032221,9.61,-10.0,39.3,19.35,0.0,34.5,118,0.135788,89,0.102417,69,0.079402,-0.32,0.0,0,0.0,0,0.0
origin_route,ATL,AGS,,,AGS→ATL,,,2024-01-01,2024-12-31,2172,2134,38,1,0.017495,183,0.085754,60,0.028116,10.1,-9.0,50.8,19.21,0.0,51.0,379,0.177601,282,0.132146,193,0.09044,0.06,0.0,5,0.017544,0,0.0
origin_route,ATL,ALB,,,ALB→ATL,,,2024-01-01,2024-12-31,1011,998,13,5,0.012859,64,0.064128,15,0.01503,2.34,-10.0,31.8,15.98,0.0,38.0,193,0.193387,118,0.118236,67,0.067134,1.9,0.0,9,0.075,0,0.0
origin_route,ATL,ANC,,,ANC→ATL,,,2024-01-01,2024-12-31,109,105,4,0,0.036697,18,0.171429,6,0.057143,56.11,18.0,102.8,59.55,22.0,97.0,63,0.6,42,0.4,18,0.171429,1.71,2.0,1,0.022727,0,0.0
origin_route,ATL,ASE,,,ASE→ATL,,,2024-01-01,2024-12-31,458,430,28,12,0.061135,84,0.195349,26,0.060465,42.23,9.0,124.6,43.39,4.0,123.6,167,0.388372,126,0.293023,76,0.176744,-3.17,0.0,4,0.031496,0,0.0
origin_route,ATL,ATW,,,ATW→ATL,,,2024-01-01,2024-12-31,369,366,3,1,0.00813,25,0.068306,15,0.040984,5.69,-14.0,26.6,19.5,0.0,18.0,39,0.106557,29,0.079235,25,0.068306,-0.07,0.0,0,0.0,0,0.0
