level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,BOS,,,,,,,2024-01-01,2024-12-31,143491,141441,2050,270,0.014287,12606,0.089126,2325,0.016438,8.4,-7.0,54.0,18.27,0.0,55.0,31489,0.22263,22340,0.157946,12745,0.090108,0.17,0.0,833,0.036516,36,0.002776
origin_route,BOS,ACK,,,ACK→BOS,,,2024-01-01,2024-12-31,209,202,7,0,0.033493,17,0.084158,7,0.034653,6.09,-12.0,51.6,18.08,0.0,43.9,41,0.20297,35,0.173267,15,0.074257,-0.65,0.0,0,0.0,0,0.0
origin_route,BOS,AGS,,,AGS→BOS,,,2024-01-01,2024-12-31,13,13,0,0,0.0,0,0.0,0,0.0,-1.08,-4.0,20.4,9.69,0.0,30.2,5,0.384615,2,0.153846,0,0.0,2.54,0.0,1,0.5,0,
origin_route,BOS,ATL,,,ATL→BOS,,,2024-01-01,2024-12-31,5025,4984,41,8,0.008159,353,0.070827,53,0.010634,7.08,-5.0,46.0,16.49,0.0,48.0,1187,0.238162,781,0.156701,383,0.076846,1.41,0.0,26,0.032459,0,0.0
origin_route,BOS,AUS,,,AUS→BOS,,,2024-01-01,2024-12-31,1442,1428,14,4,0.009709,159,0.111345,43,0.030112,15.83,-6.0,66.7,27.85,0.0,70.0,418,0.292717,302,0.211485,167,0.116947,2.22,0.0,21,0.067961,0,0.0
origin_route,BOS,AVL,,,AVL→BOS,,,2024-01-01,2024-12-31,214,209,5,1,0.023364,19,0.090909,3,0.014354,6.11,-7.0,54.3,13.61,0.0,46.9,37,0.177033,27,0.129187,14,0.066986,-1.96,0.0,0,0.0,0,0.0
origin_route,BOS,BNA,,,BNA→BOS,,,2024-01-01,2024-12-31,2767,2728,39,3,0.014095,217,0.079545,39,0.014296,7.05,-7.0,51.0,17.44,0.0,47.0,619,0.226906,416,0.152493,217,0.079545,0.68,0.0,10,0.023419,0,0.0
origin_route,BOS,BUF,,,BUF→BOS,,,2024-01-01,2024-12-31,929,914,15,1,0.016146,56,0.061269,11,0.012035,1.55,-12.0,35.8,11.55,0.0,27.8,135,0.147702,86,0.094092,49,0.053611,-1.52,0.0,0,0.0,0,0.0
origin_route,BOS,BWI,,,BWI→BOS,,,2024-01-01,2024-12-31,4070,4015,55,3,0.013514,323,0.080448,38,0.009465,7.79,-5.0,49.9,17.29,0.0,52.0,1067,0.265753,687,0.171108,339,0.084433,1.54,0.0,17,0.024045,0,0.0
origin_route,BOS,BZN,,,BZN→BOS,,,2024-01-01,2024-12-31,90,90,0,2,0.0,18,0.2,2,0.022222,31.7,15.0,111.8,36.72,11.0,118.0,38,0.422222,30,0.333333,18,0.2,-1.05,0.0,0,0.0,0,0.0
origin_route,BOS,CHS,,,CHS→BOS,,,2024-01-01,2024-12-31,1259,1238,21,4,0.01668,134,0.108239,32,0.025848,14.07,-7.0,67.4,25.78,0.0,70.7,341,0.275444,248,0.200323,139,0.112278,1.39,0.0,11,0.043478,0,0.0
origin_route,BOS,CLE,,,CLE→BOS,,,2024-01-01,2024-12-31,1712,1691,21,2,0.012266,106,0.062685,25,0.014784,3.54,-10.0,37.0,13.26,0.0,35.2,253,0.149616,186,0.109994,108,0.063868,-0.81,0.0,4,0.020942,0,0.0
origin_route,BOS,CLT,,,CLT→BOS,,,2024-01-01,2024-12-31,5210,5140,70,7,0.013436,519,0.100973,95,0.018482,12.11,-3.0,61.0,19.65,0.0,60.8,1273,0.247665,909,0.176848,514,0.1,0.08,0.0,20,0.021622,1,0.001919
