level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,CLT,,,,,,,2024-01-01,2024-12-31,217545,214478,3067,442,0.014098,17782,0.082908,4313,0.020109,11.54,-5.0,49.0,19.4,0.0,48.0,43303,0.201899,29927,0.139534,17517,0.081673,-0.7,0.0,906,0.029622,23,0.001292
origin_route,CLT,ABE,,,ABE→CLT,,,2024-01-01,2024-12-31,1166,1151,15,3,0.012864,88,0.076455,32,0.027802,4.45,-16.0,40.0,21.83,0.0,44.0,183,0.158992,139,0.120765,89,0.077324,1.34,0.0,8,0.056338,0,0.0
origin_route,CLT,ACK,,,ACK→CLT,,,2024-01-01,2024-12-31,11,11,0,0,0.0,1,0.090909,0,0.0,7.64,2.0,39.0,6.09,0.0,19.0,2,0.181818,0,0.0,0,0.0,-5.64,0.0,0,,0,
origin_route,CLT,AGS,,,AGS→CLT,,,2024-01-01,2024-12-31,1021,992,29,0,0.028404,111,0.111895,29,0.029234,19.58,0.0,71.8,23.39,0.0,72.7,218,0.219758,157,0.158266,108,0.108871,-1.75,0.0,2,0.0125,0,0.0
origin_route,CLT,ALB,,,ALB→CLT,,,2024-01-01,2024-12-31,1206,1192,14,3,0.011609,130,0.10906,33,0.027685,16.26,-7.0,68.0,24.96,0.0,68.2,278,0.233221,211,0.177013,126,0.105705,-0.49,0.0,10,0.046948,0,0.0
origin_route,CLT,ATL,,,ATL→CLT,,,2024-01-01,2024-12-31,5383,5325,58,4,0.010775,329,0.061784,57,0.010704,7.05,-5.0,36.0,13.7,0.0,36.0,924,0.173521,596,0.111925,321,0.060282,-0.67,0.0,16,0.026144,1,0.003049
origin_route,CLT,ATW,,,ATW→CLT,,,2024-01-01,2024-12-31,365,359,6,0,0.016438,26,0.072423,7,0.019499,4.06,-11.0,42.2,16.37,0.0,39.4,65,0.181058,44,0.122563,24,0.066852,0.3,0.0,2,0.044444,0,0.0
origin_route,CLT,AUS,,,AUS→CLT,,,2024-01-01,2024-12-31,1911,1886,25,5,0.013082,188,0.099682,51,0.027041,17.63,-4.0,60.0,24.39,0.0,59.0,401,0.212619,294,0.155885,186,0.098621,-0.77,0.0,6,0.02,0,0.0
origin_route,CLT,AVL,,,AVL→CLT,,,2024-01-01,2024-12-31,2112,2043,69,2,0.03267,164,0.080274,34,0.016642,15.12,3.0,46.0,19.02,0.0,47.0,408,0.199706,270,0.132159,167,0.081743,-2.19,0.0,7,0.025547,0,0.0
origin_route,CLT,AVP,,,AVP→CLT,,,2024-01-01,2024-12-31,1064,1052,12,1,0.011278,103,0.097909,31,0.029468,13.0,-10.0,59.0,24.47,0.0,62.0,213,0.202471,160,0.152091,109,0.103612,0.25,0.0,4,0.024691,0,0.0
origin_route,CLT,BDL,,,BDL→CLT,,,2024-01-01,2024-12-31,1875,1858,17,1,0.009067,158,0.085038,39,0.02099,11.96,-6.0,50.0,19.93,0.0,48.0,399,0.214747,269,0.144779,142,0.076426,-0.66,0.0,12,0.043165,0,0.0
origin_route,CLT,BGR,,,BGR→CLT,,,2024-01-01,2024-12-31,225,223,2,0,0.008889,22,0.098655,4,0.017937,13.68,-8.0,53.8,22.17,0.0,42.8,42,0.188341,29,0.130045,14,0.06278,-2.21,0.0,0,0.0,0,0.0
origin_route,CLT,BHM,,,BHM→CLT,,,2024-01-01,2024-12-31,2276,2253,23,4,0.010105,178,0.079006,43,0.019086,11.34,-5.0,47.2,18.76,0.0,50.0,438,0.194407,310,0.137594,181,0.080337,-0.35,0.0,2,0.006369,0,0.0
origin_route,CLT,BNA,,,BNA→CLT,,,2024-01-01,2024-12-31,3674,3624,50,4,0.013609,324,0.089404,69,0.01904,16.98,0.0,55.0,20.91,0.0,51.0,789,0.217715,531,0.146523,306,0.084437,-2.08,0.0,4,0.007353,0,0.0
origin_route,CLT,BOS,,,BOS→CLT,,,2024-01-01,2024-12-31,5214,5133,81,6,0.015535,380,0.074031,69,0.013442,2.64,-11.0,40.4,14.55,0.0,40.0,871,0.169686,629,0.12254,351,0.068381,-0.29,0.0,42,0.065319,0,0.0
origin_route,CLT,BTR,,,BTR→CLT,,,2024-01-01,2024-12-31,957,944,13,3,0.013584,85,0.090042,16,0.016949,11.28,-3.0,52.0,17.65,0.0,52.0,209,0.221398,134,0.141949,83,0.087924,-0.27,0.0,1,0.007194,0,0.0
origin_route,CLT,BTV,,,BTV→CLT,,,2024-01-01,2024-12-31,728,718,10,4,0.013736,63,0.087744,19,0.026462,8.9,-11.0,54.1,20.77,0.0,45.0,123,0.171309,93,0.129526,60,0.083565,-0.68,0.0,5,0.053191,0,0.0
origin_route,CLT,BUF,,,BUF→CLT,,,2024-01-01,2024-12-31,1271,1251,20,1,0.015736,107,0.085532,28,0.022382,16.82,-2.0,53.1,21.57,0.0,49.1,269,0.215028,178,0.142286,108,0.086331,-1.43,0.0,1,0.005376,0,0.0
origin_route,CLT,BWI,,,BWI→CLT,,,2024-01-01,2024-12-31,3324,3281,43,8,0.012936,277,0.084425,70,0.021335,13.33,-2.0,50.0,19.87,0.0,50.0,811,0.247181,519,0.158183,274,0.083511,-0.67,0.0,13,0.02439,0,0.0
origin_route,CLT,BZN,,,BZN→CLT,,,2024-01-01,2024-12-31,12,12,0,0,0.0,3,0.25,0,0.0,20.58,5.0,79.3,18.92,8.5,62.0,4,0.333333,2,0.166667,2,0.166667,-6.67,0.0,0,0.0,0,0.0
origin_route,CLT,CAE,,,CAE→CLT,,,2024-01-01,2024-12-31,1244,1235,9,0,0.007235,74,0.059919,19,0.015385,7.42,-4.0,30.0,13.7,0.0,33.0,175,0.1417,128,0.103644,77,0.062348,-2.29,0.0,4,0.030769,0,0.0
origin_route,CLT,CAK,,,CAK→CLT,,,2024-01-01,2024-12-31,1287,1280,7,6,0.005439,130,0.101562,27,0.021094,9.84,-7.0,63.0,18.65,0.0,61.7,229,0.178906,177,0.138281,130,0.101562,-0.85,0.0,5,0.027933,0,0.0
origin_route,CLT,CHA,,,CHA→CLT,,,2024-01-01,2024-12-31,979,968,11,0,0.011236,69,0.071281,16,0.016529,9.74,-3.0,36.3,15.86,0.0,39.0,186,0.192149,116,0.119835,69,0.071281,-0.55,0.0,0,0.0,0,0.0
origin_route,CLT,CHO,,,CHO→CLT,,,2024-01-01,2024-12-31,63,63,0,0,0.0,1,0.015873,0,0.0,-1.38,-1.0,11.8,2.83,0.0,3.6,2,0.031746,2,0.031746,1,0.015873,-2.24,0.0,0,0.0,0,0.0
origin_route,CLT,CHS,,,CHS→CLT,,,2024-01-01,2024-12-31,2821,2779,42,3,0.014888,199,0.071608,54,0.019431,11.13,-4.0,41.0,17.61,0.0,40.0,498,0.179201,343,0.123426,211,0.075927,-1.36,0.0,7,0.019886,0,0.0
origin_route,CLT,CID,,,CID→CLT,,,2024-01-01,2024-12-31,559,545,14,0,0.025045,49,0.089908,21,0.038532,16.82,-4.0,47.0,25.48,0.0,46.6,106,0.194495,74,0.13578,47,0.086239,0.13,0.0,3,0.038961,0,0.0
origin_route,CLT,CLE,,,CLE→CLT,,,2024-01-01,2024-12-31,1888,1856,32,4,0.016949,156,0.084052,45,0.024246,11.89,-5.0,47.0,18.91,0.0,47.8,378,0.203664,268,0.144397,153,0.082435,-0.5,0.0,4,0.014815,0,0.0
origin_route,CLT,CMH,,,CMH→CLT,,,2024-01-01,2024-12-31,2042,2022,20,4,0.009794,177,0.087537,41,0.020277,15.82,-4.0,51.0,22.82,0.0,51.0,396,0.195846,280,0.138477,178,0.088032,-1.08,0.0,5,0.017606,0,0.0
origin_route,CLT,CRW,,,CRW→CLT,,,2024-01-01,2024-12-31,1095,1083,12,2,0.010959,102,0.094183,25,0.023084,13.9,-2.0,53.0,22.02,0.0,61.0,231,0.213296,161,0.148661,109,0.100646,-1.04,0.0,7,0.042424,0,0.0
