level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,DFW,,,,,,,2024-01-01,2024-12-31,313568,307522,6046,1300,0.019281,29281,0.095216,7752,0.025208,13.91,-5.0,57.0,21.82,0.0,56.0,67315,0.218895,47964,0.155969,28738,0.09345,-0.84,0.0,1485,0.030343,76,0.002603
origin_route,DFW,ABI,,,ABI→DFW,,,2024-01-01,2024-12-31,1757,1742,15,1,0.008537,114,0.065442,23,0.013203,4.41,-8.0,34.0,12.22,0.0,31.0,266,0.152698,177,0.101607,115,0.066016,-0.74,0.0,0,0.0,0,0.0
origin_route,DFW,ABQ,,,ABQ→DFW,,,2024-01-01,2024-12-31,2460,2394,66,9,0.026829,234,0.097744,75,0.031328,19.35,-5.0,59.0,25.53,0.0,58.0,507,0.211779,370,0.154553,229,0.095656,-1.17,0.0,5,0.013228,0,0.0
origin_route,DFW,ACT,,,ACT→DFW,,,2024-01-01,2024-12-31,1087,1060,27,0,0.024839,108,0.101887,28,0.026415,15.3,-3.0,63.0,20.07,0.0,64.0,222,0.209434,171,0.161321,109,0.10283,-1.62,0.0,0,0.0,0,0.0
origin_route,DFW,AEX,,,AEX→DFW,,,2024-01-01,2024-12-31,1088,1064,24,1,0.022059,104,0.097744,33,0.031015,14.35,-9.0,59.0,23.58,0.0,61.8,199,0.18703,157,0.147556,109,0.102444,-1.05,0.0,1,0.006369,1,0.009009
origin_route,DFW,AGS,,,AGS→DFW,,,2024-01-01,2024-12-31,373,363,10,3,0.02681,42,0.115702,7,0.019284,10.53,-12.0,76.4,24.44,0.0,80.1,90,0.247934,66,0.181818,49,0.134986,1.81,0.0,0,0.0,0,0.0
origin_route,DFW,ALB,,,ALB→DFW,,,2024-01-01,2024-12-31,350,347,3,5,0.008571,23,0.066282,7,0.020173,8.74,-7.0,37.9,18.87,0.0,31.8,58,0.167147,35,0.100865,25,0.072046,-1.33,0.0,4,0.105263,0,0.0
origin_route,DFW,AMA,,,AMA→DFW,,,2024-01-01,2024-12-31,2421,2377,44,6,0.018174,170,0.071519,44,0.018511,7.86,-7.0,43.0,14.62,0.0,39.0,386,0.16239,276,0.116113,157,0.06605,-1.39,0.0,1,0.003497,0,0.0
origin_route,DFW,ANC,,,ANC→DFW,,,2024-01-01,2024-12-31,381,379,2,3,0.005249,32,0.084433,11,0.029024,20.42,-10.0,44.0,36.68,2.0,54.0,93,0.245383,69,0.182058,33,0.087071,3.39,0.0,9,0.130435,0,0.0
origin_route,DFW,ASE,,,ASE→DFW,,,2024-01-01,2024-12-31,1162,1089,73,11,0.062823,143,0.131313,42,0.038567,17.51,-8.0,85.0,28.03,0.0,80.6,284,0.26079,216,0.198347,138,0.126722,-0.92,0.0,3,0.013575,0,0.0
