level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,FLL,,,,,,,2024-01-01,2024-12-31,91897,90371,1526,234,0.016606,8302,0.091866,1646,0.018214,9.81,-5.0,56.0,19.15,0.0,55.0,22084,0.24437,14879,0.164644,8276,0.091578,0.27,0.0,673,0.044146,28,0.003321
origin_route,FLL,ABE,,,ABE→FLL,,,2024-01-01,2024-12-31,81,81,0,0,0.0,5,0.061728,0,0.0,-1.99,-12.0,30.0,10.98,0.0,38.0,14,0.17284,12,0.148148,5,0.061728,0.12,0.0,1,0.083333,0,0.0
origin_route,FLL,ACY,,,ACY→FLL,,,2024-01-01,2024-12-31,589,575,14,2,0.023769,41,0.071304,7,0.012174,4.72,-9.0,47.8,16.28,0.0,51.0,143,0.248696,97,0.168696,44,0.076522,0.98,0.0,8,0.07767,0,0.0
origin_route,FLL,ALB,,,ALB→FLL,,,2024-01-01,2024-12-31,396,390,6,4,0.015152,39,0.1,7,0.017949,9.43,-7.0,60.0,19.72,0.0,58.5,92,0.235897,67,0.171795,36,0.092308,-0.39,0.0,7,0.101449,1,0.027778
origin_route,FLL,ATL,,,ATL→FLL,,,2024-01-01,2024-12-31,7702,7610,92,12,0.011945,707,0.092904,121,0.0159,12.69,-2.0,56.0,18.82,0.0,54.0,1983,0.260578,1315,0.172799,671,0.088173,0.3,0.0,24,0.017844,1,0.001466
origin_route,FLL,ATW,,,ATW→FLL,,,2024-01-01,2024-12-31,41,40,1,0,0.02439,3,0.075,0,0.0,6.5,5.5,42.1,11.15,0.0,40.2,9,0.225,5,0.125,1,0.025,-5.1,0.0,1,0.2,0,0.0
origin_route,FLL,AUS,,,AUS→FLL,,,2024-01-01,2024-12-31,980,969,11,5,0.011224,92,0.094943,12,0.012384,11.47,-2.0,58.0,19.34,3.0,57.7,289,0.298246,170,0.175439,94,0.097007,0.95,0.0,2,0.011494,0,0.0
origin_route,FLL,AVL,,,AVL→FLL,,,2024-01-01,2024-12-31,638,617,21,4,0.032915,76,0.123177,26,0.042139,21.83,-3.0,80.8,30.36,0.0,80.8,183,0.296596,138,0.223663,77,0.124797,0.17,0.0,1,0.007042,0,0.0
origin_route,FLL,BDL,,,BDL→FLL,,,2024-01-01,2024-12-31,791,783,8,4,0.010114,48,0.061303,11,0.014049,1.4,-10.0,35.2,12.77,0.0,34.0,126,0.16092,86,0.109834,46,0.058748,-1.01,0.0,3,0.034483,0,0.0
origin_route,FLL,BGR,,,BGR→FLL,,,2024-01-01,2024-12-31,20,20,0,0,0.0,7,0.35,3,0.15,110.8,21.5,300.7,123.0,26.5,330.2,11,0.55,10,0.5,9,0.45,5.35,4.5,1,0.1,0,0.0
origin_route,FLL,BHM,,,BHM→FLL,,,2024-01-01,2024-12-31,73,73,0,0,0.0,3,0.041096,0,0.0,11.7,4.0,44.8,13.04,0.0,43.4,21,0.287671,14,0.191781,3,0.041096,-2.01,0.0,0,0.0,0,0.0
origin_route,FLL,BLV,,,BLV→FLL,,,2024-01-01,2024-12-31,16,16,0,0,0.0,4,0.25,2,0.125,106.69,14.0,223.0,104.94,11.0,193.0,7,0.4375,5,0.3125,4,0.25,-6.44,0.0,0,0.0,0,0.0
origin_route,FLL,BNA,,,BNA→FLL,,,2024-01-01,2024-12-31,2026,1995,31,3,0.015301,154,0.077193,20,0.010025,5.61,-6.5,45.0,15.71,0.0,47.0,441,0.221053,285,0.142857,165,0.082707,1.15,0.0,11,0.037543,0,0.0
origin_route,FLL,BOS,,,BOS→FLL,,,2024-01-01,2024-12-31,3172,3121,51,12,0.016078,337,0.107978,82,0.026274,12.48,-5.0,64.0,22.34,0.0,65.0,846,0.271067,569,0.182313,341,0.10926,0.04,0.0,34,0.05852,2,0.005797
origin_route,FLL,BQN,,,BQN→FLL,,,2024-01-01,2024-12-31,349,347,2,2,0.005731,23,0.066282,9,0.025937,10.66,-7.0,37.0,20.97,0.0,39.6,70,0.201729,45,0.129683,25,0.072046,0.7,0.0,0,0.0,0,0.0
origin_route,FLL,BUF,,,BUF→FLL,,,2024-01-01,2024-12-31,512,503,9,0,0.017578,49,0.097416,7,0.013917,5.28,-8.0,58.0,15.87,0.0,49.2,108,0.214712,75,0.149105,41,0.081511,-1.78,0.0,6,0.077922,0,0.0
origin_route,FLL,BWI,,,BWI→FLL,,,2024-01-01,2024-12-31,3886,3823,63,12,0.016212,332,0.086843,61,0.015956,9.0,-5.0,54.0,18.23,1.0,51.0,1036,0.270991,628,0.164269,321,0.083965,0.66,0.0,42,0.064516,0,0.0
origin_route,FLL,CAK,,,CAK→FLL,,,2024-01-01,2024-12-31,62,62,0,0,0.0,8,0.129032,2,0.032258,15.66,-2.5,74.0,27.23,0.0,76.9,19,0.306452,16,0.258065,10,0.16129,1.23,0.0,1,0.0625,0,0.0
origin_route,FLL,CHS,,,CHS→FLL,,,2024-01-01,2024-12-31,636,623,13,1,0.02044,71,0.113965,17,0.027287,14.83,-6.0,69.9,22.47,0.0,65.9,149,0.239165,108,0.173355,69,0.110754,-0.81,0.0,1,0.009174,0,0.0
origin_route,FLL,CID,,,CID→FLL,,,2024-01-01,2024-12-31,78,76,2,0,0.025641,7,0.092105,0,0.0,-5.2,-21.0,40.5,15.3,0.0,38.5,14,0.184211,10,0.131579,7,0.092105,0.49,0.0,0,0.0,0,0.0
origin_route,FLL,CLE,,,CLE→FLL,,,2024-01-01,2024-12-31,1049,1037,12,0,0.011439,55,0.053038,9,0.008679,-3.27,-12.0,26.0,9.79,0.0,24.0,130,0.125362,88,0.08486,50,0.048216,-0.23,0.0,7,0.079545,0,0.0
origin_route,FLL,CLT,,,CLT→FLL,,,2024-01-01,2024-12-31,3607,3550,57,9,0.015803,392,0.110423,69,0.019437,16.01,-1.0,68.0,23.1,1.0,66.0,1047,0.29493,728,0.20507,397,0.111831,0.67,0.0,17,0.022849,1,0.002469
origin_route,FLL,CMH,,,CMH→FLL,,,2024-01-01,2024-12-31,1083,1075,8,2,0.007387,77,0.071628,12,0.011163,6.24,-7.0,46.0,15.81,0.0,47.8,238,0.221395,154,0.143256,83,0.077209,0.55,0.0,5,0.031447,0,0.0
origin_route,FLL,CVG,,,CVG→FLL,,,2024-01-01,2024-12-31,813,805,8,1,0.00984,48,0.059627,14,0.017391,4.29,-8.0,34.0,12.66,0.0,33.0,119,0.147826,88,0.109317,49,0.06087,-0.82,0.0,2,0.021739,0,0.0
origin_route,FLL,DAL,,,DAL→FLL,,,2024-01-01,2024-12-31,779,771,8,2,0.01027,60,0.077821,9,0.011673,10.65,-1.0,51.2,16.98,2.0,48.0,198,0.256809,121,0.156939,60,0.077821,0.73,0.0,0,0.0,0,0.0
origin_route,FLL,DCA,,,DCA→FLL,,,2024-01-01,2024-12-31,2415,2383,32,9,0.013251,236,0.099035,59,0.024759,9.24,-6.0,59.0,19.69,0.0,58.0,558,0.234159,383,0.160722,225,0.094419,0.51,0.0,13,0.033419,2,0.008658
origin_route,FLL,DEN,,,DEN→FLL,,,2024-01-01,2024-12-31,1572,1549,23,2,0.014631,137,0.088444,16,0.010329,9.17,-2.0,51.0,16.56,1.0,51.0,370,0.238864,243,0.156875,123,0.079406,-0.05,0.0,12,0.047619,2,0.015748
origin_route,FLL,DFW,,,DFW→FLL,,,2024-01-01,2024-12-31,3053,2983,70,3,0.022928,328,0.109956,59,0.019779,15.7,-1.0,68.0,22.75,1.0,66.0,887,0.297352,597,0.200134,326,0.109286,0.32,0.0,29,0.047002,0,0.0
origin_route,FLL,DSM,,,DSM→FLL,,,2024-01-01,2024-12-31,95,91,4,0,0.042105,9,0.098901,4,0.043956,13.58,-7.0,46.0,20.55,0.0,31.0,17,0.186813,10,0.10989,7,0.076923,-2.73,0.0,0,0.0,0,0.0
origin_route,FLL,DTW,,,DTW→FLL,,,2024-01-01,2024-12-31,2468,2440,28,6,0.011345,181,0.07418,25,0.010246,6.66,-6.0,45.0,15.29,0.0,48.0,534,0.218852,363,0.14877,184,0.07541,0.2,0.0,16,0.043127,0,0.0
origin_route,FLL,EWR,,,EWR→FLL,,,2024-01-01,2024-12-31,5263,5122,141,13,0.026791,549,0.107185,117,0.022843,8.3,-9.0,65.0,19.77,0.0,62.0,1230,0.240141,873,0.170441,522,0.101913,-0.54,0.0,64,0.071749,5,0.009311
