FlightDate,IATA_CODE_Reporting_Airline,flight_number,Tail_Number,Origin,OriginCityName,Dest,route,CRSDepTime,scheduled_departure_hour,scheduled_departure_bucket,DepTime,DepDelay,DepDelayMinutes,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,Distance
2024-01-01,AS,AS827.0,N983AK,ANC,"Anchorage, AK",HNL,ANC→HNL,1735,17,evening,1733.0,-2.0,0.0,2259,2218.0,-41.0,0.0,False,,False,384.0,345.0,2777.0
2024-01-01,DL,DL837.0,N827NW,ATL,"Atlanta, GA",HNL,ATL→HNL,955,9,late_morning,954.0,-1.0,0.0,1520,1506.0,-14.0,0.0,False,,False,625.0,612.0,4502.0
2024-01-01,HA,HA81.0,N389HA,AUS,"Austin, TX",HNL,AUS→HNL,1000,10,late_morning,956.0,-4.0,0.0,1440,1504.0,24.0,24.0,False,,False,520.0,548.0,3764.0
2024-01-01,HA,HA89.0,N391HA,BOS,"Boston, MA",HNL,BOS→HNL,800,8,early_morning,807.0,7.0,7.0,1425,1403.0,-22.0,0.0,False,,False,685.0,656.0,5095.0
2024-01-01,UA,UA2135.0,N41135,DEN,"Denver, CO",HNL,DEN→HNL,1615,16,evening,1619.0,4.0,4.0,2110,2104.0,-6.0,0.0,False,,False,475.0,465.0,3365.0
2024-01-01,UA,UA384.0,N776UA,DEN,"Denver, CO",HNL,DEN→HNL,1205,12,afternoon,1158.0,-7.0,0.0,1641,1620.0,-21.0,0.0,False,,False,456.0,442.0,3365.0
2024-01-01,UA,UA898.0,N21108,DEN,"Denver, CO",HNL,DEN→HNL,1400,14,afternoon,1358.0,-2.0,0.0,1855,1838.0,-17.0,0.0,False,,False,475.0,460.0,3365.0
2024-01-01,AA,AA115.0,N872AN,DFW,"Dallas/Fort Worth, TX",HNL,DFW→HNL,1120,11,late_morning,1239.0,79.0,79.0,1540,1702.0,82.0,82.0,False,,False,500.0,503.0,3784.0
2024-01-01,AA,AA123.0,N813AN,DFW,"Dallas/Fort Worth, TX",HNL,DFW→HNL,930,9,late_morning,933.0,3.0,3.0,1350,1354.0,4.0,4.0,False,,False,500.0,501.0,3784.0
2024-01-01,DL,DL797.0,N819NW,DTW,"Detroit, MI",HNL,DTW→HNL,1008,10,late_morning,1013.0,5.0,5.0,1515,1447.0,-28.0,0.0,False,,False,607.0,574.0,4475.0
2024-01-01,UA,UA363.0,N66051,EWR,"Newark, NJ",HNL,EWR→HNL,835,8,early_morning,911.0,36.0,36.0,1451,1446.0,-5.0,0.0,False,,False,676.0,635.0,4962.0
2024-01-01,UA,UA200.0,N2747U,GUM,"Guam, TT",HNL,GUM→HNL,735,7,early_morning,1349.0,374.0,374.0,1850,34.0,344.0,344.0,False,,False,435.0,405.0,3801.0
2024-01-01,UA,UA345.0,N76055,IAD,"Washington, DC",HNL,IAD→HNL,825,8,early_morning,815.0,-10.0,0.0,1423,1403.0,-20.0,0.0,False,,False,658.0,648.0,4817.0
2024-01-01,UA,UA253.0,N778UA,IAH,"Houston, TX",HNL,IAH→HNL,930,9,late_morning,938.0,8.0,8.0,1418,1454.0,36.0,36.0,False,,False,528.0,556.0,3904.0
2024-01-01,HA,HA101.0,N476HA,ITO,"Hilo, HI",HNL,ITO→HNL,600,6,early_morning,556.0,-4.0,0.0,653,652.0,-1.0,0.0,False,,False,53.0,56.0,216.0
2024-01-01,HA,HA121.0,N495HA,ITO,"Hilo, HI",HNL,ITO→HNL,730,7,early_morning,728.0,-2.0,0.0,825,823.0,-2.0,0.0,False,,False,55.0,55.0,216.0
2024-01-01,HA,HA161.0,N491HA,ITO,"Hilo, HI",HNL,ITO→HNL,859,8,early_morning,905.0,6.0,6.0,953,955.0,2.0,2.0,False,,False,54.0,50.0,216.0
2024-01-01,HA,HA171.0,N487HA,ITO,"Hilo, HI",HNL,ITO→HNL,950,9,late_morning,947.0,-3.0,0.0,1046,1042.0,-4.0,0.0,False,,False,56.0,55.0,216.0
2024-01-01,HA,HA181.0,N483HA,ITO,"Hilo, HI",HNL,ITO→HNL,1025,10,late_morning,1037.0,12.0,12.0,1121,1132.0,11.0,11.0,False,,False,56.0,55.0,216.0
2024-01-01,HA,HA201.0,N489HA,ITO,"Hilo, HI",HNL,ITO→HNL,1130,11,late_morning,1150.0,20.0,20.0,1225,1245.0,20.0,20.0,False,,False,55.0,55.0,216.0
2024-01-01,HA,HA251.0,N485HA,ITO,"Hilo, HI",HNL,ITO→HNL,1220,12,afternoon,1246.0,26.0,26.0,1315,1342.0,27.0,27.0,False,,False,55.0,56.0,216.0
2024-01-01,HA,HA261.0,N477HA,ITO,"Hilo, HI",HNL,ITO→HNL,1320,13,afternoon,1331.0,11.0,11.0,1419,1424.0,5.0,5.0,False,,False,59.0,53.0,216.0
2024-01-01,HA,HA281.0,N476HA,ITO,"Hilo, HI",HNL,ITO→HNL,1430,14,afternoon,1427.0,-3.0,0.0,1528,1523.0,-5.0,0.0,False,,False,58.0,56.0,216.0
2024-01-01,HA,HA321.0,N480HA,ITO,"Hilo, HI",HNL,ITO→HNL,1600,16,evening,1610.0,10.0,10.0,1657,1705.0,8.0,8.0,False,,False,57.0,55.0,216.0
2024-01-01,HA,HA341.0,N484HA,ITO,"Hilo, HI",HNL,ITO→HNL,1715,17,evening,1723.0,8.0,8.0,1810,1818.0,8.0,8.0,False,,False,55.0,55.0,216.0
2024-01-01,HA,HA381.0,N491HA,ITO,"Hilo, HI",HNL,ITO→HNL,1759,17,evening,1839.0,40.0,40.0,1854,1934.0,40.0,40.0,False,,False,55.0,55.0,216.0
2024-01-01,HA,HA561.0,N485HA,ITO,"Hilo, HI",HNL,ITO→HNL,2055,20,night,2059.0,4.0,4.0,2149,2152.0,3.0,3.0,False,,False,54.0,53.0,216.0
2024-01-01,WN,WN1242.0,N8725L,ITO,"Hilo, HI",HNL,ITO→HNL,900,9,late_morning,916.0,16.0,16.0,955,1010.0,15.0,15.0,False,,False,55.0,54.0,216.0
2024-01-01,WN,WN1648.0,N8735L,ITO,"Hilo, HI",HNL,ITO→HNL,1220,12,afternoon,1258.0,38.0,38.0,1320,1352.0,32.0,32.0,False,,False,60.0,54.0,216.0
2024-01-01,WN,WN2142.0,N8714Q,ITO,"Hilo, HI",HNL,ITO→HNL,1635,16,evening,1632.0,-3.0,0.0,1735,1724.0,-11.0,0.0,False,,False,60.0,52.0,216.0
2024-01-01,WN,WN2431.0,N8739L,ITO,"Hilo, HI",HNL,ITO→HNL,1915,19,evening,1912.0,-3.0,0.0,2010,2003.0,-7.0,0.0,False,,False,55.0,51.0,216.0
2024-01-01,WN,WN616.0,N8771D,ITO,"Hilo, HI",HNL,ITO→HNL,620,6,early_morning,617.0,-3.0,0.0,715,717.0,2.0,2.0,False,,False,55.0,60.0,216.0
2024-01-01,DL,DL362.0,N826MH,JFK,"New York, NY",HNL,JFK→HNL,1000,10,late_morning,955.0,-5.0,0.0,1630,1544.0,-46.0,0.0,False,,False,690.0,649.0,4983.0
2024-01-01,HA,HA51.0,N378HA,JFK,"New York, NY",HNL,JFK→HNL,1000,10,late_morning,959.0,-1.0,0.0,1605,1619.0,14.0,14.0,False,,False,665.0,680.0,4983.0
2024-01-01,HA,HA107.0,N479HA,KOA,"Kona, HI",HNL,KOA→HNL,600,6,early_morning,553.0,-7.0,0.0,645,639.0,-6.0,0.0,False,,False,45.0,46.0,163.0
2024-01-01,HA,HA127.0,N487HA,KOA,"Kona, HI",HNL,KOA→HNL,700,7,early_morning,653.0,-7.0,0.0,748,739.0,-9.0,0.0,False,,False,48.0,46.0,163.0
2024-01-01,HA,HA137.0,N492HA,KOA,"Kona, HI",HNL,KOA→HNL,810,8,early_morning,807.0,-3.0,0.0,856,851.0,-5.0,0.0,False,,False,46.0,44.0,163.0
2024-01-01,HA,HA177.0,N486HA,KOA,"Kona, HI",HNL,KOA→HNL,950,9,late_morning,946.0,-4.0,0.0,1039,1032.0,-7.0,0.0,False,,False,49.0,46.0,163.0
2024-01-01,HA,HA207.0,N492HA,KOA,"Kona, HI",HNL,KOA→HNL,1055,10,late_morning,1051.0,-4.0,0.0,1142,1137.0,-5.0,0.0,False,,False,47.0,46.0,163.0
2024-01-01,HA,HA227.0,N491HA,KOA,"Kona, HI",HNL,KOA→HNL,1150,11,late_morning,1140.0,-10.0,0.0,1241,1224.0,-17.0,0.0,False,,False,51.0,44.0,163.0
2024-01-01,HA,HA247.0,N495HA,KOA,"Kona, HI",HNL,KOA→HNL,1300,13,afternoon,1256.0,-4.0,0.0,1352,1348.0,-4.0,0.0,False,,False,52.0,52.0,163.0
2024-01-01,HA,HA277.0,N492HA,KOA,"Kona, HI",HNL,KOA→HNL,1345,13,afternoon,1345.0,0.0,0.0,1437,1434.0,-3.0,0.0,False,,False,52.0,49.0,163.0
2024-01-01,HA,HA287.0,N484HA,KOA,"Kona, HI",HNL,KOA→HNL,1415,14,afternoon,1413.0,-2.0,0.0,1507,1505.0,-2.0,0.0,False,,False,52.0,52.0,163.0
2024-01-01,HA,HA307.0,N491HA,KOA,"Kona, HI",HNL,KOA→HNL,1455,14,afternoon,1458.0,3.0,3.0,1547,1550.0,3.0,3.0,False,,False,52.0,52.0,163.0
2024-01-01,HA,HA317.0,N486HA,KOA,"Kona, HI",HNL,KOA→HNL,1530,15,afternoon,1537.0,7.0,7.0,1622,1622.0,0.0,0.0,False,,False,52.0,45.0,163.0
2024-01-01,HA,HA327.0,N475HA,KOA,"Kona, HI",HNL,KOA→HNL,1635,16,evening,1633.0,-2.0,0.0,1726,1724.0,-2.0,0.0,False,,False,51.0,51.0,163.0
2024-01-01,HA,HA337.0,N493HA,KOA,"Kona, HI",HNL,KOA→HNL,1604,16,evening,1608.0,4.0,4.0,1655,1653.0,-2.0,0.0,False,,False,51.0,45.0,163.0
2024-01-01,HA,HA347.0,N479HA,KOA,"Kona, HI",HNL,KOA→HNL,1700,17,evening,1658.0,-2.0,0.0,1748,1809.0,21.0,21.0,False,,False,48.0,71.0,163.0
2024-01-01,HA,HA387.0,N489HA,KOA,"Kona, HI",HNL,KOA→HNL,1740,17,evening,1745.0,5.0,5.0,1828,1828.0,0.0,0.0,False,,False,48.0,43.0,163.0
2024-01-01,HA,HA507.0,N476HA,KOA,"Kona, HI",HNL,KOA→HNL,1850,18,evening,1901.0,11.0,11.0,1939,1950.0,11.0,11.0,False,,False,49.0,49.0,163.0
2024-01-01,HA,HA527.0,N475HA,KOA,"Kona, HI",HNL,KOA→HNL,1930,19,evening,1936.0,6.0,6.0,2020,2019.0,-1.0,0.0,False,,False,50.0,43.0,163.0
2024-01-01,WN,WN1002.0,N8714Q,KOA,"Kona, HI",HNL,KOA→HNL,1155,11,late_morning,1146.0,-9.0,0.0,1250,1238.0,-12.0,0.0,False,,False,55.0,52.0,163.0
2024-01-01,WN,WN1190.0,N8782Q,KOA,"Kona, HI",HNL,KOA→HNL,835,8,early_morning,828.0,-7.0,0.0,925,913.0,-12.0,0.0,False,,False,50.0,45.0,163.0
