level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,HNL,,,,,,,2024-01-01,2024-12-31,61558,60976,582,237,0.009454,2066,0.033882,370,0.006068,2.48,-4.0,24.0,9.2,0.0,21.0,7947,0.13033,4354,0.071405,2019,0.033111,-0.48,0.0,281,0.062542,29,0.014057
origin_route,HNL,ANC,,,ANC→HNL,,,2024-01-01,2024-12-31,366,360,6,2,0.016393,9,0.025,1,0.002778,-6.76,-10.0,19.3,6.12,0.0,18.6,40,0.111111,22,0.061111,6,0.016667,-0.47,0.0,4,0.173913,0,0.0
origin_route,HNL,ATL,,,ATL→HNL,,,2024-01-01,2024-12-31,366,366,0,0,0.0,24,0.065574,5,0.013661,4.76,-4.0,34.0,12.22,0.0,19.5,46,0.125683,28,0.076503,20,0.054645,-2.34,0.0,0,0.0,0,0.0
origin_route,HNL,AUS,,,AUS→HNL,,,2024-01-01,2024-12-31,166,165,1,0,0.006024,9,0.054545,5,0.030303,36.62,10.0,48.0,34.56,0.0,42.8,39,0.236364,27,0.163636,13,0.078788,-5.25,-2.0,5,0.178571,0,0.0
origin_route,HNL,BOS,,,BOS→HNL,,,2024-01-01,2024-12-31,258,256,2,0,0.007752,19,0.074219,3,0.011719,14.6,2.0,46.0,20.68,1.0,48.5,55,0.214844,37,0.144531,19,0.074219,-1.09,0.0,8,0.216216,1,0.05
origin_route,HNL,DEN,,,DEN→HNL,,,2024-01-01,2024-12-31,585,576,9,8,0.015385,62,0.107639,26,0.045139,16.01,-4.0,69.9,27.7,2.0,80.2,149,0.258681,103,0.178819,70,0.121528,2.47,0.0,9,0.085714,3,0.042254
origin_route,HNL,DFW,,,DFW→HNL,,,2024-01-01,2024-12-31,649,648,1,1,0.001541,64,0.098765,26,0.040123,13.71,-4.0,55.6,23.15,0.0,69.0,128,0.197531,92,0.141975,68,0.104938,-0.25,0.0,7,0.073684,1,0.014706
origin_route,HNL,DTW,,,DTW→HNL,,,2024-01-01,2024-12-31,340,337,3,2,0.008824,19,0.05638,5,0.014837,-0.96,-8.0,33.0,12.69,0.0,24.0,44,0.130564,31,0.091988,22,0.065282,-0.72,0.0,4,0.125,0,0.0
origin_route,HNL,EWR,,,EWR→HNL,,,2024-01-01,2024-12-31,136,135,1,3,0.007353,16,0.118519,6,0.044444,14.96,-6.5,77.8,33.72,0.0,91.8,41,0.303704,27,0.2,16,0.118519,4.06,0.0,3,0.111111,0,0.0
origin_route,HNL,GUM,,,GUM→HNL,,,2024-01-01,2024-12-31,366,362,4,0,0.010929,7,0.019337,2,0.005525,-10.27,-14.0,7.0,10.46,0.0,20.9,43,0.118785,25,0.069061,9,0.024862,4.12,0.0,10,0.4,0,0.0
origin_route,HNL,IAD,,,IAD→HNL,,,2024-01-01,2024-12-31,127,127,0,3,0.0,11,0.086614,6,0.047244,3.78,-14.5,54.8,28.1,0.0,77.8,25,0.19685,20,0.15748,14,0.110236,5.06,0.0,5,0.25,0,0.0
origin_route,HNL,IAH,,,IAH→HNL,,,2024-01-01,2024-12-31,439,435,4,0,0.009112,35,0.08046,10,0.022989,18.11,8.0,48.2,22.0,9.0,49.2,150,0.344828,76,0.174713,33,0.075862,-0.48,0.0,2,0.025,1,0.030303
origin_route,HNL,ITO,,,ITO→HNL,,,2024-01-01,2024-12-31,6432,6373,59,0,0.009173,127,0.019928,4,0.000628,1.34,-3.0,16.0,5.28,0.0,15.0,633,0.099325,278,0.043622,114,0.017888,-0.56,0.0,0,0.0,0,0.0
origin_route,HNL,JFK,,,JFK→HNL,,,2024-01-01,2024-12-31,703,699,4,1,0.00569,37,0.052933,5,0.007153,2.89,-4.0,38.0,12.26,0.0,26.3,115,0.164521,64,0.091559,38,0.054363,-1.41,0.0,9,0.140625,3,0.076923
origin_route,HNL,KOA,,,KOA→HNL,,,2024-01-01,2024-12-31,8048,7975,73,1,0.009071,154,0.01931,11,0.001379,1.15,-4.0,18.0,5.5,0.0,16.0,804,0.100815,374,0.046897,137,0.017179,-0.66,0.0,0,0.0,0,0.0
origin_route,HNL,LAS,,,LAS→HNL,,,2024-01-01,2024-12-31,1563,1561,2,88,0.00128,69,0.044202,13,0.008328,11.23,1.0,38.0,17.45,2.0,35.8,295,0.188981,172,0.110186,76,0.048687,-0.36,0.0,15,0.085714,0,0.0
origin_route,HNL,LAX,,,LAX→HNL,,,2024-01-01,2024-12-31,5612,5574,38,9,0.006771,299,0.053642,85,0.015249,4.06,-6.0,32.6,13.89,0.0,31.0,919,0.164873,561,0.100646,318,0.057051,-0.14,0.0,48,0.08377,4,0.012384
origin_route,HNL,LGB,,,LGB→HNL,,,2024-01-01,2024-12-31,732,730,2,0,0.002732,24,0.032877,3,0.00411,-1.04,-7.5,27.0,7.64,0.0,17.0,79,0.108219,43,0.058904,19,0.026027,-1.91,0.0,3,0.068182,0,0.0
origin_route,HNL,LIH,,,LIH→HNL,,,2024-01-01,2024-12-31,8640,8531,109,2,0.012616,157,0.018403,10,0.001172,-0.06,-5.0,17.0,5.32,0.0,15.0,824,0.096589,412,0.048294,134,0.015707,-0.5,0.0,0,0.0,0,0.0
origin_route,HNL,MSP,,,MSP→HNL,,,2024-01-01,2024-12-31,365,364,1,4,0.00274,24,0.065934,2,0.005495,-2.63,-10.0,31.1,10.08,0.0,22.0,46,0.126374,30,0.082418,20,0.054945,-1.04,0.0,2,0.066667,0,0.0
origin_route,HNL,OAK,,,OAK→HNL,,,2024-01-01,2024-12-31,1089,1082,7,3,0.006428,41,0.037893,6,0.005545,-1.53,-8.0,27.0,8.82,0.0,22.2,161,0.148799,77,0.071165,38,0.03512,-0.78,0.0,4,0.05,2,0.051282
origin_route,HNL,OGG,,,OGG→HNL,,,2024-01-01,2024-12-31,11642,11514,128,4,0.010995,213,0.018499,19,0.00165,0.37,-4.0,17.0,5.25,0.0,14.0,1069,0.092843,539,0.046813,197,0.01711,-0.61,0.0,0,0.0,0,0.0
origin_route,HNL,ONT,,,ONT→HNL,,,2024-01-01,2024-12-31,368,366,2,2,0.005435,15,0.040984,5,0.013661,6.34,-2.0,29.0,11.01,0.0,15.0,36,0.098361,23,0.062842,12,0.032787,-3.32,0.0,0,0.0,0,0.0
origin_route,HNL,ORD,,,ORD→HNL,,,2024-01-01,2024-12-31,379,378,1,0,0.002639,13,0.034392,2,0.005291,-10.28,-16.0,24.3,9.9,0.0,23.3,55,0.145503,29,0.07672,18,0.047619,2.01,0.0,6,0.1875,2,0.111111
origin_route,HNL,PAE,,,PAE→HNL,,,2024-01-01,2024-12-31,149,142,7,10,0.04698,7,0.049296,0,0.0,2.46,-3.0,36.9,7.11,0.0,18.8,15,0.105634,11,0.077465,4,0.028169,-5.46,0.0,1,0.090909,0,0.0
origin_route,HNL,PDX,,,PDX→HNL,,,2024-01-01,2024-12-31,734,722,12,3,0.016349,26,0.036011,6,0.00831,7.81,-1.0,31.0,12.48,0.0,20.0,94,0.130194,55,0.076177,29,0.040166,-2.34,0.0,4,0.070175,0,0.0
origin_route,HNL,PHX,,,PHX→HNL,,,2024-01-01,2024-12-31,1319,1318,1,25,0.000758,36,0.027314,5,0.003794,-0.3,-6.0,25.0,9.43,0.0,20.0,168,0.127466,95,0.072079,37,0.028073,-0.44,0.0,13,0.132653,1,0.025641
origin_route,HNL,PPG,,,PPG→HNL,,,2024-01-01,2024-12-31,125,125,0,0,0.0,7,0.056,3,0.024,15.55,-3.0,27.8,22.53,1.0,29.0,21,0.168,12,0.096,6,0.048,0.87,0.0,0,0.0,0,0.0
origin_route,HNL,SAN,,,SAN→HNL,,,2024-01-01,2024-12-31,1666,1650,16,22,0.009604,116,0.070303,17,0.010303,10.52,1.0,47.0,16.79,1.0,42.0,413,0.250303,241,0.146061,100,0.060606,-1.25,0.0,24,0.097166,0,0.0
origin_route,HNL,SEA,,,SEA→HNL,,,2024-01-01,2024-12-31,2912,2868,44,41,0.01511,154,0.053696,28,0.009763,5.85,-3.0,38.0,15.63,1.0,37.0,629,0.219317,357,0.124477,161,0.056137,0.51,0.0,53,0.141711,6,0.036585
origin_route,HNL,SFO,,,SFO→HNL,,,2024-01-01,2024-12-31,2528,2500,28,1,0.011076,161,0.0644,24,0.0096,5.32,-5.0,39.0,15.47,1.0,39.0,502,0.2008,312,0.1248,171,0.0684,1.36,0.0,34,0.10625,4,0.023121
origin_route,HNL,SJC,,,SJC→HNL,,,2024-01-01,2024-12-31,1389,1379,10,1,0.007199,37,0.026831,4,0.002901,-3.93,-9.0,21.0,5.79,0.0,13.0,121,0.087745,67,0.048586,34,0.024656,-1.37,0.0,2,0.029412,0,0.0
origin_route,HNL,SLC,,,SLC→HNL,,,2024-01-01,2024-12-31,632,627,5,1,0.007911,43,0.068581,15,0.023923,10.32,-4.5,37.0,17.88,0.0,25.5,93,0.148325,55,0.087719,39,0.062201,-1.99,0.0,4,0.071429,1,0.025641
