level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,IAD,,,,,,,2024-01-01,2024-12-31,52895,52174,721,102,0.013631,3042,0.058305,642,0.012305,3.21,-8.0,32.0,12.67,0.0,32.0,8015,0.153621,5376,0.10304,3085,0.059129,-0.02,0.0,215,0.039006,11,0.003495
origin_route,IAD,ANC,,,ANC→IAD,,,2024-01-01,2024-12-31,103,101,2,2,0.019417,4,0.039604,2,0.019802,-1.87,-12.0,29.2,15.82,0.0,45.0,21,0.207921,16,0.158416,6,0.059406,3.97,0.0,3,0.1875,1,0.125
origin_route,IAD,ATL,,,ATL→IAD,,,2024-01-01,2024-12-31,3266,3237,29,6,0.008879,193,0.059623,38,0.011739,6.63,-5.0,35.0,12.78,0.0,33.0,521,0.160951,341,0.105344,192,0.059314,-0.42,0.0,2,0.00565,0,0.0
origin_route,IAD,AUS,,,AUS→IAD,,,2024-01-01,2024-12-31,974,961,13,1,0.013347,42,0.043704,12,0.012487,0.74,-8.0,19.0,11.88,0.0,23.0,123,0.127992,76,0.079084,45,0.046826,0.78,0.0,1,0.0125,0,0.0
origin_route,IAD,BDL,,,BDL→IAD,,,2024-01-01,2024-12-31,637,631,6,1,0.009419,22,0.034865,11,0.017433,1.04,-10.0,12.1,10.74,0.0,13.0,59,0.093502,39,0.061807,23,0.03645,0.13,0.0,0,0.0,0,0.0
origin_route,IAD,BNA,,,BNA→IAD,,,2024-01-01,2024-12-31,1014,1005,9,1,0.008876,63,0.062687,17,0.016915,5.34,-6.0,29.0,12.47,0.0,25.7,131,0.130348,94,0.093532,63,0.062687,-0.54,0.0,1,0.010526,0,0.0
origin_route,IAD,BOS,,,BOS→IAD,,,2024-01-01,2024-12-31,1463,1451,12,1,0.008202,77,0.053067,19,0.013094,0.05,-10.0,25.0,10.03,0.0,19.1,176,0.121296,109,0.075121,75,0.051688,-0.25,0.0,0,0.0,0,0.0
origin_route,IAD,BTV,,,BTV→IAD,,,2024-01-01,2024-12-31,612,607,5,0,0.00817,18,0.029654,4,0.00659,-9.58,-15.0,5.0,5.17,0.0,2.4,42,0.069193,32,0.052718,14,0.023064,-0.33,0.0,2,0.060606,0,0.0
origin_route,IAD,BUF,,,BUF→IAD,,,2024-01-01,2024-12-31,175,171,4,0,0.022857,7,0.040936,1,0.005848,-2.64,-11.0,10.0,6.84,0.0,10.0,13,0.076023,9,0.052632,5,0.02924,-1.13,0.0,0,0.0,0,0.0
origin_route,IAD,BZN,,,BZN→IAD,,,2024-01-01,2024-12-31,6,6,0,0,0.0,0,0.0,0,0.0,-13.83,-13.0,-9.5,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,0,
origin_route,IAD,CHS,,,CHS→IAD,,,2024-01-01,2024-12-31,724,721,3,1,0.004144,25,0.034674,2,0.002774,-3.42,-11.0,13.0,6.99,0.0,7.0,55,0.076283,41,0.056865,26,0.036061,-0.55,0.0,2,0.047619,0,0.0
origin_route,IAD,CLE,,,CLE→IAD,,,2024-01-01,2024-12-31,577,572,5,0,0.008666,12,0.020979,5,0.008741,-4.94,-11.0,7.0,4.76,0.0,4.0,35,0.061189,21,0.036713,12,0.020979,-0.18,0.0,1,0.047619,0,0.0
origin_route,IAD,CLT,,,CLT→IAD,,,2024-01-01,2024-12-31,2124,2104,20,3,0.009416,149,0.070817,23,0.010932,4.6,-8.0,37.0,13.8,0.0,39.0,360,0.171103,250,0.118821,148,0.070342,0.41,0.0,6,0.023529,1,0.006623
origin_route,IAD,CMH,,,CMH→IAD,,,2024-01-01,2024-12-31,784,776,8,0,0.010204,22,0.028351,2,0.002577,-4.76,-10.0,13.0,5.52,0.0,10.0,64,0.082474,38,0.048969,24,0.030928,-0.18,0.0,2,0.05,0,0.0
origin_route,IAD,CVG,,,CVG→IAD,,,2024-01-01,2024-12-31,412,408,4,0,0.009709,9,0.022059,3,0.007353,-7.85,-13.0,4.0,4.4,0.0,4.3,24,0.058824,15,0.036765,10,0.02451,-0.17,0.0,0,0.0,0,0.0
origin_route,IAD,DEN,,,DEN→IAD,,,2024-01-01,2024-12-31,3247,3185,62,3,0.019095,249,0.078179,44,0.013815,9.52,-5.0,46.0,17.79,0.0,43.0,668,0.209733,434,0.136264,255,0.080063,0.23,0.0,18,0.040541,0,0.0
origin_route,IAD,DFW,,,DFW→IAD,,,2024-01-01,2024-12-31,1715,1689,26,3,0.01516,165,0.097691,32,0.018946,12.01,-3.0,59.0,19.96,0.0,64.0,406,0.240379,295,0.17466,179,0.10598,1.01,0.0,13,0.043046,2,0.010811
origin_route,IAD,DTW,,,DTW→IAD,,,2024-01-01,2024-12-31,1322,1316,6,0,0.004539,104,0.079027,22,0.016717,10.49,-3.5,46.0,15.31,0.0,42.5,241,0.183131,166,0.12614,102,0.077508,-1.27,0.0,1,0.005814,0,0.0
origin_route,IAD,EWR,,,EWR→IAD,,,2024-01-01,2024-12-31,1358,1327,31,2,0.022828,168,0.126601,32,0.024115,14.41,-3.0,73.6,20.18,0.0,67.0,342,0.257724,242,0.182366,144,0.108515,-1.77,0.0,7,0.028226,0,0.0
origin_route,IAD,EYW,,,EYW→IAD,,,2024-01-01,2024-12-31,90,89,1,0,0.011111,7,0.078652,1,0.011236,2.1,-12.0,36.8,13.7,0.0,43.0,12,0.134831,11,0.123596,7,0.078652,0.02,0.0,0,0.0,0,0.0
origin_route,IAD,FLL,,,FLL→IAD,,,2024-01-01,2024-12-31,799,792,7,0,0.008761,36,0.045455,9,0.011364,0.6,-11.0,24.9,10.69,0.0,21.9,93,0.117424,63,0.079545,38,0.04798,-0.7,0.0,2,0.030769,0,0.0
origin_route,IAD,HDN,,,HDN→IAD,,,2024-01-01,2024-12-31,15,15,0,0,0.0,3,0.2,0,0.0,17.33,-6.0,93.0,28.33,5.0,88.6,7,0.466667,5,0.333333,3,0.2,3.47,1.0,1,0.2,0,0.0
origin_route,IAD,HNL,,,HNL→IAD,,,2024-01-01,2024-12-31,127,124,3,1,0.023622,12,0.096774,4,0.032258,3.81,-14.0,48.6,24.52,0.0,76.8,28,0.225806,22,0.177419,16,0.129032,5.32,0.0,1,0.045455,1,0.0625
origin_route,IAD,HSV,,,HSV→IAD,,,2024-01-01,2024-12-31,15,15,0,0,0.0,0,0.0,0,0.0,-17.33,-17.0,-7.4,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,-0.4,0.0,0,,0,
origin_route,IAD,IAH,,,IAH→IAD,,,2024-01-01,2024-12-31,1690,1669,21,4,0.012426,127,0.076093,31,0.018574,12.2,0.0,47.0,18.47,1.0,54.0,403,0.241462,252,0.150989,149,0.089275,0.81,0.0,12,0.046512,0,0.0
origin_route,IAD,IND,,,IND→IAD,,,2024-01-01,2024-12-31,1287,1277,10,2,0.00777,35,0.027408,3,0.002349,-4.41,-10.0,11.0,4.98,0.0,6.6,95,0.074393,66,0.051684,36,0.028191,-0.57,0.0,0,0.0,0,0.0
origin_route,IAD,JAX,,,JAX→IAD,,,2024-01-01,2024-12-31,855,846,9,3,0.010526,58,0.068558,17,0.020095,6.81,-7.0,35.8,14.95,0.0,32.8,122,0.144208,90,0.106383,55,0.065012,-0.81,0.0,0,0.0,0,0.0
origin_route,IAD,JFK,,,JFK→IAD,,,2024-01-01,2024-12-31,715,707,8,1,0.011189,72,0.101839,15,0.021216,8.1,-10.0,63.0,18.02,0.0,59.5,134,0.189533,111,0.157001,70,0.09901,-0.74,0.0,6,0.054054,0,0.0
origin_route,IAD,JST,,,JST→IAD,,,2024-01-01,2024-12-31,366,358,8,0,0.021858,39,0.108939,12,0.03352,7.83,-13.0,65.3,21.26,0.0,62.6,70,0.195531,53,0.148045,38,0.106145,0.14,0.0,3,0.054545,0,0.0
origin_route,IAD,LAS,,,LAS→IAD,,,2024-01-01,2024-12-31,944,927,17,4,0.018008,46,0.049622,12,0.012945,-1.51,-12.0,28.0,11.72,0.0,25.0,117,0.126214,83,0.089536,53,0.057174,0.05,0.0,1,0.011765,1,0.018519
origin_route,IAD,LAX,,,LAX→IAD,,,2024-01-01,2024-12-31,2616,2589,27,8,0.010321,97,0.037466,10,0.003862,-1.46,-7.0,24.0,9.71,0.0,28.0,405,0.156431,243,0.093859,112,0.04326,0.9,0.0,22,0.08871,0,0.0
origin_route,IAD,LGA,,,LGA→IAD,,,2024-01-01,2024-12-31,1479,1440,39,1,0.026369,87,0.060417,18,0.0125,0.53,-11.0,32.2,11.02,0.0,29.0,222,0.154167,138,0.095833,72,0.05,-1.02,0.0,3,0.021277,0,0.0
origin_route,IAD,MCI,,,MCI→IAD,,,2024-01-01,2024-12-31,4,4,0,0,0.0,1,0.25,0,0.0,18.0,-6.5,64.6,27.25,0.5,75.9,1,0.25,1,0.25,1,0.25,3.75,0.5,0,0.0,0,0.0
origin_route,IAD,MCO,,,MCO→IAD,,,2024-01-01,2024-12-31,1671,1633,38,1,0.022741,142,0.086957,30,0.018371,7.96,-7.0,48.9,16.27,0.0,49.0,302,0.184936,222,0.135946,128,0.078383,-0.45,0.0,6,0.026432,0,0.0
origin_route,IAD,MDW,,,MDW→IAD,,,2024-01-01,2024-12-31,12,12,0,0,0.0,0,0.0,0,0.0,10.17,14.5,23.7,12.25,7.5,29.9,4,0.333333,1,0.083333,0,0.0,0.08,0.5,0,0.0,0,
origin_route,IAD,MGW,,,MGW→IAD,,,2024-01-01,2024-12-31,18,18,0,0,0.0,4,0.222222,3,0.166667,66.39,9.0,328.1,65.28,0.0,340.7,5,0.277778,4,0.222222,3,0.166667,-4.33,0.0,0,0.0,0,0.0
origin_route,IAD,MIA,,,MIA→IAD,,,2024-01-01,2024-12-31,576,568,8,3,0.013889,34,0.059859,8,0.014085,5.66,-8.0,31.6,13.42,0.0,31.6,78,0.137324,59,0.103873,30,0.052817,-1.38,0.0,1,0.016949,0,0.0
origin_route,IAD,MKE,,,MKE→IAD,,,2024-01-01,2024-12-31,1,1,0,0,0.0,0,0.0,0,0.0,-29.0,-29.0,-29.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,0,
origin_route,IAD,MSP,,,MSP→IAD,,,2024-01-01,2024-12-31,932,926,6,1,0.006438,54,0.058315,11,0.011879,6.2,-3.0,35.0,11.63,0.0,32.6,142,0.153348,98,0.105832,52,0.056156,-1.37,0.0,4,0.038835,0,0.0
origin_route,IAD,MSY,,,MSY→IAD,,,2024-01-01,2024-12-31,669,653,16,2,0.023916,32,0.049005,3,0.004594,-3.1,-11.0,17.0,8.01,0.0,13.0,62,0.094946,49,0.075038,34,0.052067,0.09,0.0,0,0.0,0,0.0
origin_route,IAD,MYR,,,MYR→IAD,,,2024-01-01,2024-12-31,5,5,0,0,0.0,0,0.0,0,0.0,-9.8,-9.0,0.4,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,-1.2,0.0,0,,0,
origin_route,IAD,ORD,,,ORD→IAD,,,2024-01-01,2024-12-31,1685,1671,14,2,0.008309,127,0.076002,41,0.024536,11.45,-4.0,48.0,18.11,0.0,45.2,342,0.204668,219,0.131059,137,0.081987,0.15,0.0,4,0.0181,0,0.0
origin_route,IAD,ORF,,,ORF→IAD,,,2024-01-01,2024-12-31,632,623,9,0,0.014241,20,0.032103,5,0.008026,-4.6,-13.0,16.0,7.38,0.0,12.0,53,0.085072,30,0.048154,22,0.035313,-0.28,0.0,1,0.033333,0,0.0
origin_route,IAD,PBI,,,PBI→IAD,,,2024-01-01,2024-12-31,43,41,2,0,0.046512,1,0.02439,0,0.0,0.12,-5.0,26.0,3.27,0.0,0.0,2,0.04878,1,0.02439,1,0.02439,-4.29,0.0,0,0.0,0,0.0
origin_route,IAD,PDX,,,PDX→IAD,,,2024-01-01,2024-12-31,288,287,1,0,0.003472,5,0.017422,2,0.006969,-5.87,-12.0,8.0,8.03,0.0,10.0,22,0.076655,15,0.052265,7,0.02439,0.65,0.0,2,0.125,0,0.0
origin_route,IAD,PGD,,,PGD→IAD,,,2024-01-01,2024-12-31,66,66,0,0,0.0,4,0.060606,2,0.030303,13.14,-1.5,48.0,24.24,0.0,52.5,21,0.318182,13,0.19697,5,0.075758,0.47,0.0,0,0.0,0,0.0
origin_route,IAD,PHL,,,PHL→IAD,,,2024-01-01,2024-12-31,1,1,0,0,0.0,0,0.0,0,0.0,-24.0,-24.0,-24.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,,0,
origin_route,IAD,PHX,,,PHX→IAD,,,2024-01-01,2024-12-31,1085,1069,16,6,0.014747,38,0.035547,5,0.004677,-1.39,-8.0,20.0,9.54,0.0,22.0,132,0.12348,79,0.073901,39,0.036483,0.83,0.0,4,0.047619,0,0.0
