level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,JFK,,,,,,,2024-01-01,2024-12-31,123334,120975,2359,389,0.019127,10216,0.084447,2353,0.01945,8.2,-8.0,50.0,18.74,0.0,50.0,24291,0.200794,17138,0.141666,10353,0.08558,0.08,0.0,845,0.048333,45,0.004282
origin_route,JFK,ABQ,,,ABQ→JFK,,,2024-01-01,2024-12-31,259,254,5,0,0.019305,49,0.192913,14,0.055118,44.33,5.5,108.7,51.37,9.5,105.1,113,0.444882,84,0.330709,51,0.200787,0.89,0.0,5,0.057471,0,0.0
origin_route,JFK,ACK,,,ACK→JFK,,,2024-01-01,2024-12-31,357,332,25,0,0.070028,45,0.135542,20,0.060241,17.78,-9.0,98.9,26.07,0.0,86.8,72,0.216867,62,0.186747,46,0.138554,-2.33,0.0,0,0.0,0,0.0
origin_route,JFK,AGS,,,AGS→JFK,,,2024-01-01,2024-12-31,2,2,0,0,0.0,0,0.0,0,0.0,20.5,20.5,39.3,17.5,17.5,31.5,1,0.5,1,0.5,0,0.0,-4.5,-4.5,0,0.0,0,
origin_route,JFK,ANC,,,ANC→JFK,,,2024-01-01,2024-12-31,68,68,0,0,0.0,2,0.029412,1,0.014706,1.28,-6.0,27.3,7.94,0.0,14.3,6,0.088235,4,0.058824,2,0.029412,-1.74,0.0,0,0.0,0,0.0
origin_route,JFK,ATL,,,ATL→JFK,,,2024-01-01,2024-12-31,3538,3516,22,10,0.006218,287,0.081627,64,0.018203,10.57,-4.0,50.5,18.95,0.0,50.0,862,0.245165,562,0.159841,296,0.084187,1.19,0.0,21,0.036269,0,0.0
origin_route,JFK,AUS,,,AUS→JFK,,,2024-01-01,2024-12-31,2406,2370,36,17,0.014963,232,0.09789,68,0.028692,13.24,-7.0,59.8,25.67,0.0,66.0,595,0.251055,419,0.176793,255,0.107595,2.02,0.0,30,0.070423,4,0.015504
origin_route,JFK,BGR,,,BGR→JFK,,,2024-01-01,2024-12-31,358,345,13,0,0.036313,23,0.066667,7,0.02029,-3.27,-15.0,15.6,12.63,0.0,8.4,32,0.092754,23,0.066667,20,0.057971,-0.58,0.0,0,0.0,0,0.0
origin_route,JFK,BNA,,,BNA→JFK,,,2024-01-01,2024-12-31,2221,2173,48,5,0.021612,177,0.081454,37,0.017027,8.51,-5.0,47.0,16.04,0.0,47.3,387,0.178095,278,0.127934,164,0.075472,-0.88,0.0,7,0.024476,0,0.0
origin_route,JFK,BOS,,,BOS→JFK,,,2024-01-01,2024-12-31,5577,5469,108,1,0.019365,403,0.073688,67,0.012251,5.08,-8.0,42.0,14.23,0.0,44.0,1011,0.18486,702,0.12836,404,0.073871,-0.35,0.0,20,0.027739,0,0.0
