level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,LAS,,,,,,,2024-01-01,2024-12-31,189264,187475,1789,166,0.009452,13995,0.07465,2021,0.01078,7.18,-5.0,46.0,16.06,0.0,48.0,42225,0.22523,27739,0.147961,14394,0.076778,0.66,0.0,1045,0.036635,53,0.003602
origin_route,LAS,ABQ,,,ABQ→LAS,,,2024-01-01,2024-12-31,2113,2104,9,1,0.004259,137,0.065114,15,0.007129,4.86,-6.0,40.8,12.97,0.0,43.0,423,0.201046,286,0.135932,131,0.062262,0.68,0.0,4,0.013423,0,0.0
origin_route,LAS,ALB,,,ALB→LAS,,,2024-01-01,2024-12-31,77,77,0,0,0.0,7,0.090909,1,0.012987,16.68,6.0,48.4,20.38,7.0,43.0,25,0.324675,11,0.142857,7,0.090909,0.56,0.0,0,0.0,0,0.0
origin_route,LAS,AMA,,,AMA→LAS,,,2024-01-01,2024-12-31,366,365,1,0,0.002732,36,0.09863,6,0.016438,9.98,-6.0,59.0,19.69,0.0,59.6,100,0.273973,57,0.156164,36,0.09863,0.97,0.0,0,0.0,0,0.0
origin_route,LAS,ANC,,,ANC→LAS,,,2024-01-01,2024-12-31,117,117,0,0,0.0,6,0.051282,0,0.0,-4.27,-7.0,17.0,6.72,0.0,17.4,13,0.111111,7,0.059829,4,0.034188,-0.93,0.0,1,0.142857,0,0.0
origin_route,LAS,ATL,,,ATL→LAS,,,2024-01-01,2024-12-31,4965,4923,42,9,0.008459,318,0.064595,53,0.010766,7.43,-3.0,42.0,15.31,0.0,44.0,1144,0.232379,715,0.145237,332,0.067439,0.46,0.0,52,0.070081,1,0.002976
origin_route,LAS,ATW,,,ATW→LAS,,,2024-01-01,2024-12-31,150,147,3,0,0.02,3,0.020408,2,0.013605,-3.31,-16.0,31.4,11.76,0.0,24.4,20,0.136054,12,0.081633,4,0.027211,-1.72,0.0,1,0.083333,0,0.0
origin_route,LAS,AUS,,,AUS→LAS,,,2024-01-01,2024-12-31,3306,3291,15,4,0.004537,258,0.078396,41,0.012458,9.84,-4.0,48.0,18.17,0.0,50.4,818,0.248557,523,0.158918,282,0.085688,1.33,0.0,12,0.022059,0,0.0
origin_route,LAS,AVL,,,AVL→LAS,,,2024-01-01,2024-12-31,105,104,1,0,0.009524,4,0.038462,2,0.019231,6.13,-11.5,23.8,18.05,0.0,19.0,13,0.125,9,0.086538,5,0.048077,-0.02,0.0,1,0.111111,1,0.2
origin_route,LAS,AZA,,,AZA→LAS,,,2024-01-01,2024-12-31,10,10,0,0,0.0,1,0.1,0,0.0,8.0,-2.5,49.0,17.0,0.0,58.7,2,0.2,2,0.2,1,0.1,0.6,0.0,0,0.0,0,0.0
