level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,LAX,,,,,,,2024-01-01,2024-12-31,194044,192357,1687,247,0.008694,11812,0.061407,2355,0.012243,4.55,-7.0,37.0,14.81,0.0,39.0,36617,0.19036,23410,0.121701,12448,0.064713,0.56,0.0,1379,0.057379,118,0.009299
origin_route,LAX,ABQ,,,ABQ→LAX,,,2024-01-01,2024-12-31,2301,2300,1,3,0.000435,78,0.033913,24,0.010435,-0.2,-9.0,21.0,9.18,0.0,20.0,272,0.118261,148,0.064348,77,0.033478,-0.39,0.0,1,0.006289,0,0.0
origin_route,LAX,ACV,,,ACV→LAX,,,2024-01-01,2024-12-31,366,363,3,1,0.008197,27,0.07438,8,0.022039,11.84,-7.0,39.0,20.54,0.0,41.8,51,0.140496,41,0.112948,27,0.07438,0.31,0.0,0,0.0,0,0.0
origin_route,LAX,ANC,,,ANC→LAX,,,2024-01-01,2024-12-31,348,344,4,2,0.011494,9,0.026163,4,0.011628,0.15,-4.0,25.0,11.2,0.0,25.0,59,0.171512,30,0.087209,13,0.037791,0.77,0.0,3,0.1,0,0.0
origin_route,LAX,ASE,,,ASE→LAX,,,2024-01-01,2024-12-31,1169,1089,80,4,0.068435,134,0.123049,37,0.033976,18.17,-6.0,79.0,30.3,0.0,80.0,300,0.275482,223,0.204775,144,0.132231,0.17,0.0,8,0.035398,1,0.006849
origin_route,LAX,ATL,,,ATL→LAX,,,2024-01-01,2024-12-31,5241,5206,35,10,0.006678,324,0.062236,55,0.010565,6.8,-4.0,39.0,16.02,0.0,42.0,1214,0.233192,721,0.138494,337,0.064733,0.85,0.0,66,0.087533,4,0.011594
origin_route,LAX,ATW,,,ATW→LAX,,,2024-01-01,2024-12-31,2,2,0,0,0.0,1,0.5,1,0.5,157.0,157.0,307.4,173.5,173.5,312.3,1,0.5,1,0.5,1,0.5,1.0,1.0,0,0.0,0,0.0
origin_route,LAX,AUS,,,AUS→LAX,,,2024-01-01,2024-12-31,4025,4000,25,4,0.006211,305,0.07625,59,0.01475,9.82,-4.0,46.0,18.18,0.0,47.5,898,0.2245,603,0.15075,314,0.0785,0.66,0.0,14,0.022581,1,0.003115
origin_route,LAX,BDL,,,BDL→LAX,,,2024-01-01,2024-12-31,113,113,0,1,0.0,17,0.150442,2,0.017699,19.56,-4.5,94.7,33.94,1.5,87.9,44,0.389381,31,0.274336,17,0.150442,3.22,0.0,2,0.064516,0,0.0
origin_route,LAX,BIL,,,BIL→LAX,,,2024-01-01,2024-12-31,26,26,0,0,0.0,4,0.153846,2,0.076923,29.5,1.0,80.5,33.73,9.5,87.5,11,0.423077,5,0.192308,4,0.153846,1.12,0.0,0,0.0,0,0.0
origin_route,LAX,BLI,,,BLI→LAX,,,2024-01-01,2024-12-31,106,106,0,0,0.0,3,0.028302,0,0.0,-3.09,-10.0,20.0,7.08,0.0,25.5,17,0.160377,8,0.075472,3,0.028302,-0.26,0.0,1,0.125,0,0.0
origin_route,LAX,BNA,,,BNA→LAX,,,2024-01-01,2024-12-31,2106,2085,21,3,0.009972,120,0.057554,27,0.01295,4.78,-7.0,36.0,16.33,0.0,42.0,408,0.195683,265,0.127098,139,0.066667,1.49,0.0,18,0.066914,3,0.021127
origin_route,LAX,BOI,,,BOI→LAX,,,2024-01-01,2024-12-31,1557,1553,4,2,0.002569,42,0.027044,9,0.005795,-3.47,-10.0,13.0,6.12,0.0,8.0,122,0.078558,76,0.048938,38,0.024469,-0.68,0.0,0,0.0,0,0.0
origin_route,LAX,BOS,,,BOS→LAX,,,2024-01-01,2024-12-31,4655,4637,18,6,0.003867,334,0.072029,74,0.015959,2.52,-9.0,42.0,17.83,0.0,47.0,943,0.203364,639,0.137805,364,0.078499,1.41,0.0,87,0.133028,6,0.016304
origin_route,LAX,BUF,,,BUF→LAX,,,2024-01-01,2024-12-31,256,251,5,0,0.019531,18,0.071713,5,0.01992,2.98,-8.0,41.0,19.84,0.0,50.0,73,0.290837,49,0.195219,20,0.079681,1.94,0.0,3,0.06,3,0.15
origin_route,LAX,BWI,,,BWI→LAX,,,2024-01-01,2024-12-31,1850,1823,27,1,0.014595,129,0.070762,19,0.010422,5.47,-3.0,44.9,17.48,3.0,48.9,526,0.288535,303,0.16621,144,0.078991,2.64,0.0,37,0.115265,5,0.033784
origin_route,LAX,BZN,,,BZN→LAX,,,2024-01-01,2024-12-31,583,579,4,0,0.006861,34,0.058722,6,0.010363,-0.68,-10.0,30.4,10.71,0.0,27.4,79,0.136442,55,0.094991,30,0.051813,-0.85,0.0,6,0.105263,0,0.0
origin_route,LAX,CID,,,CID→LAX,,,2024-01-01,2024-12-31,23,23,0,0,0.0,5,0.217391,1,0.043478,25.7,-3.0,77.6,32.04,0.0,87.4,6,0.26087,6,0.26087,4,0.173913,-2.0,0.0,0,0.0,0,0.0
origin_route,LAX,CLE,,,CLE→LAX,,,2024-01-01,2024-12-31,708,697,11,2,0.015537,19,0.02726,4,0.005739,-2.51,-8.0,19.0,9.22,0.0,21.0,83,0.119082,50,0.071736,23,0.032999,0.44,0.0,4,0.076923,0,0.0
origin_route,LAX,CLT,,,CLT→LAX,,,2024-01-01,2024-12-31,2991,2948,43,4,0.014376,282,0.095658,51,0.0173,11.99,-3.0,57.7,21.89,2.0,57.7,810,0.274763,519,0.176052,281,0.095319,1.14,0.0,42,0.079395,0,0.0
origin_route,LAX,CMH,,,CMH→LAX,,,2024-01-01,2024-12-31,314,310,4,1,0.012739,17,0.054839,3,0.009677,-0.75,-12.0,33.2,14.47,0.0,45.2,64,0.206452,40,0.129032,21,0.067742,2.61,0.0,5,0.119048,0,0.0
