level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,MCO,,,,,,,2024-01-01,2024-12-31,159578,156505,3073,469,0.019257,14451,0.092336,2980,0.019041,9.58,-6.0,56.0,19.42,0.0,56.0,37391,0.238912,25375,0.162135,14564,0.093058,0.49,0.0,1180,0.045505,46,0.003111
origin_route,MCO,ABE,,,ABE→MCO,,,2024-01-01,2024-12-31,68,66,2,1,0.029412,6,0.090909,1,0.015152,6.62,-7.0,45.2,14.71,0.0,47.2,15,0.227273,9,0.136364,5,0.075758,-0.65,0.0,0,0.0,0,0.0
origin_route,MCO,ABQ,,,ABQ→MCO,,,2024-01-01,2024-12-31,75,75,0,2,0.0,8,0.106667,1,0.013333,23.77,11.0,64.8,23.22,8.0,61.2,24,0.32,13,0.173333,8,0.106667,-3.34,0.0,0,0.0,0,0.0
origin_route,MCO,ACY,,,ACY→MCO,,,2024-01-01,2024-12-31,935,921,14,3,0.014973,64,0.06949,17,0.018458,0.6,-13.0,35.3,13.95,0.0,36.3,145,0.157438,102,0.110749,56,0.060803,-0.17,0.0,1,0.009709,0,0.0
origin_route,MCO,AGS,,,AGS→MCO,,,2024-01-01,2024-12-31,2,2,0,0,0.0,0,0.0,0,0.0,23.5,23.5,47.9,8.0,8.0,13.6,0,0.0,0,0.0,0,0.0,-19.0,-19.0,0,,0,
origin_route,MCO,ALB,,,ALB→MCO,,,2024-01-01,2024-12-31,1084,1070,14,2,0.012915,106,0.099065,25,0.023364,9.92,-7.0,60.0,20.28,0.0,55.6,255,0.238318,167,0.156075,101,0.094393,0.21,0.0,6,0.035088,0,0.0
origin_route,MCO,ATL,,,ATL→MCO,,,2024-01-01,2024-12-31,8935,8790,145,19,0.016228,845,0.096132,175,0.019909,15.08,-1.0,58.0,19.05,0.0,53.0,2221,0.252673,1463,0.166439,765,0.087031,-1.14,0.0,20,0.013228,1,0.001285
origin_route,MCO,AUS,,,AUS→MCO,,,2024-01-01,2024-12-31,2771,2729,42,6,0.015157,202,0.07402,30,0.010993,7.65,-5.0,44.0,15.81,0.0,45.0,628,0.230121,401,0.14694,206,0.075486,0.55,0.0,11,0.026895,1,0.004808
origin_route,MCO,AVL,,,AVL→MCO,,,2024-01-01,2024-12-31,94,91,3,0,0.031915,8,0.087912,2,0.021978,10.36,-6.0,52.0,15.73,0.0,43.0,23,0.252747,15,0.164835,6,0.065934,-2.18,0.0,0,0.0,0,0.0
origin_route,MCO,BDL,,,BDL→MCO,,,2024-01-01,2024-12-31,1888,1861,27,7,0.014301,196,0.10532,41,0.022031,13.13,-8.0,64.0,24.88,0.0,65.0,450,0.241805,315,0.169264,201,0.108006,0.39,0.0,15,0.047468,2,0.009852
origin_route,MCO,BHM,,,BHM→MCO,,,2024-01-01,2024-12-31,728,720,8,1,0.010989,64,0.088889,19,0.026389,13.62,-3.0,54.0,19.31,0.0,58.2,163,0.226389,111,0.154167,71,0.098611,-0.01,0.0,1,0.008403,0,0.0
origin_route,MCO,BNA,,,BNA→MCO,,,2024-01-01,2024-12-31,2907,2859,48,11,0.016512,203,0.071004,34,0.011892,6.11,-6.0,44.0,16.01,0.0,46.0,642,0.224554,403,0.140958,218,0.07625,1.42,0.0,15,0.036408,0,0.0
origin_route,MCO,BOS,,,BOS→MCO,,,2024-01-01,2024-12-31,4846,4749,97,22,0.020017,565,0.118972,114,0.024005,12.35,-5.0,73.0,23.99,0.0,77.0,1394,0.293535,982,0.20678,596,0.1255,1.38,0.0,67,0.067337,2,0.003322
origin_route,MCO,BQN,,,BQN→MCO,,,2024-01-01,2024-12-31,917,907,10,0,0.010905,85,0.093716,14,0.015436,9.37,-7.0,57.0,22.61,0.0,67.4,249,0.274531,172,0.189636,101,0.111356,2.6,0.0,9,0.050847,0,0.0
origin_route,MCO,BTV,,,BTV→MCO,,,2024-01-01,2024-12-31,7,7,0,0,0.0,0,0.0,0,0.0,-11.57,-7.0,0.8,1.43,0.0,4.0,0,0.0,0,0.0,0,0.0,0.71,0.0,0,,0,
origin_route,MCO,BUF,,,BUF→MCO,,,2024-01-01,2024-12-31,1650,1614,36,3,0.021818,127,0.078686,26,0.016109,4.76,-9.0,44.0,16.54,0.0,48.0,320,0.198265,215,0.133209,132,0.081784,0.33,0.0,14,0.06422,2,0.014706
origin_route,MCO,BWI,,,BWI→MCO,,,2024-01-01,2024-12-31,5379,5267,112,8,0.020822,456,0.086577,88,0.016708,9.8,-6.0,52.2,19.82,1.0,54.0,1362,0.258591,868,0.1648,455,0.086387,1.21,0.0,38,0.042697,0,0.0
origin_route,MCO,CID,,,CID→MCO,,,2024-01-01,2024-12-31,15,14,1,0,0.066667,1,0.071429,0,0.0,3.86,-9.5,38.1,19.5,0.0,54.1,5,0.357143,4,0.285714,1,0.071429,2.57,0.0,0,0.0,0,0.0
origin_route,MCO,CLE,,,CLE→MCO,,,2024-01-01,2024-12-31,2043,1992,51,3,0.024963,181,0.090863,49,0.024598,9.04,-9.0,55.2,21.96,0.0,63.0,500,0.251004,349,0.175201,209,0.10492,2.12,0.0,19,0.053371,0,0.0
origin_route,MCO,CLT,,,CLT→MCO,,,2024-01-01,2024-12-31,5419,5311,108,7,0.01993,639,0.120316,117,0.02203,16.98,-2.0,71.0,23.42,0.0,68.0,1558,0.293353,1070,0.201469,605,0.113915,-0.02,0.0,23,0.021218,0,0.0
origin_route,MCO,CMH,,,CMH→MCO,,,2024-01-01,2024-12-31,2151,2115,36,10,0.016736,139,0.065721,28,0.013239,4.6,-8.0,40.0,14.76,0.0,41.6,392,0.185343,258,0.121986,143,0.067612,0.49,0.0,4,0.015326,0,0.0
origin_route,MCO,CVG,,,CVG→MCO,,,2024-01-01,2024-12-31,1789,1752,37,3,0.020682,156,0.089041,50,0.028539,11.9,-8.0,52.0,21.34,0.0,52.2,372,0.212329,259,0.147831,154,0.0879,-0.27,0.0,6,0.022814,0,0.0
origin_route,MCO,DAL,,,DAL→MCO,,,2024-01-01,2024-12-31,2694,2639,55,10,0.020416,219,0.082986,38,0.014399,11.62,-2.0,51.2,17.38,2.0,49.0,681,0.258052,410,0.155362,211,0.079955,-0.03,0.0,5,0.011905,0,0.0
origin_route,MCO,DCA,,,DCA→MCO,,,2024-01-01,2024-12-31,5042,4963,79,24,0.015668,440,0.088656,101,0.020351,6.7,-10.0,53.0,17.92,0.0,52.0,1003,0.202096,707,0.142454,447,0.090066,0.17,0.0,31,0.042877,1,0.002212
origin_route,MCO,DEN,,,DEN→MCO,,,2024-01-01,2024-12-31,4788,4681,107,16,0.022348,422,0.090152,71,0.015168,9.18,-6.0,55.0,19.95,0.0,56.0,1182,0.25251,768,0.164068,431,0.092074,1.3,0.0,71,0.089987,3,0.006787
origin_route,MCO,DFW,,,DFW→MCO,,,2024-01-01,2024-12-31,4954,4834,120,14,0.024223,656,0.135705,134,0.02772,20.0,0.0,81.1,27.54,2.0,80.0,1662,0.343815,1168,0.241622,653,0.135085,0.62,0.0,42,0.035413,1,0.001508
origin_route,MCO,DSM,,,DSM→MCO,,,2024-01-01,2024-12-31,85,84,1,0,0.011765,13,0.154762,2,0.02381,15.32,-11.0,89.5,29.44,0.0,101.4,27,0.321429,23,0.27381,13,0.154762,1.5,0.0,1,0.043478,0,0.0
origin_route,MCO,DTW,,,DTW→MCO,,,2024-01-01,2024-12-31,3799,3742,57,8,0.015004,346,0.092464,88,0.023517,8.81,-7.0,53.7,19.05,0.0,55.0,823,0.219936,559,0.149385,345,0.092197,0.33,0.0,26,0.045614,2,0.005731
origin_route,MCO,ELP,,,ELP→MCO,,,2024-01-01,2024-12-31,78,77,1,1,0.012821,6,0.077922,0,0.0,5.45,-4.0,34.0,14.08,1.0,36.0,16,0.207792,11,0.142857,6,0.077922,1.92,0.0,0,0.0,0,0.0
origin_route,MCO,EWR,,,EWR→MCO,,,2024-01-01,2024-12-31,6563,6368,195,14,0.029712,622,0.097676,135,0.0212,6.3,-11.0,59.0,18.63,0.0,59.0,1402,0.220163,1040,0.163317,619,0.097205,-0.03,0.0,71,0.066855,7,0.011111
origin_route,MCO,FAR,,,FAR→MCO,,,2024-01-01,2024-12-31,31,31,0,0,0.0,3,0.096774,1,0.032258,-7.0,-26.0,39.0,20.1,0.0,55.0,6,0.193548,5,0.16129,3,0.096774,1.87,0.0,1,0.2,0,0.0
origin_route,MCO,FLL,,,FLL→MCO,,,2024-01-01,2024-12-31,1287,1269,18,0,0.013986,122,0.096139,19,0.014972,12.08,-3.0,59.0,21.27,2.0,63.2,402,0.316785,276,0.217494,139,0.109535,2.3,0.0,6,0.021429,0,0.0
origin_route,MCO,GRB,,,GRB→MCO,,,2024-01-01,2024-12-31,46,43,3,0,0.065217,3,0.069767,2,0.046512,20.6,-21.0,23.2,44.19,0.0,46.8,8,0.186047,7,0.162791,4,0.093023,3.74,0.0,2,0.285714,0,0.0
origin_route,MCO,GRR,,,GRR→MCO,,,2024-01-01,2024-12-31,405,393,12,0,0.02963,55,0.139949,15,0.038168,22.55,-7.0,89.4,37.05,0.0,95.8,125,0.318066,87,0.221374,59,0.150127,1.67,0.0,9,0.101124,0,0.0
origin_route,MCO,HOU,,,HOU→MCO,,,2024-01-01,2024-12-31,2045,2002,43,8,0.021027,153,0.076424,32,0.015984,6.6,-7.0,40.7,17.22,0.0,43.0,472,0.235764,294,0.146853,150,0.074925,1.64,0.0,21,0.068852,0,0.0
origin_route,MCO,HPN,,,HPN→MCO,,,2024-01-01,2024-12-31,1309,1292,17,8,0.012987,105,0.081269,16,0.012384,0.93,-14.0,45.0,14.4,0.0,39.0,204,0.157895,146,0.113003,93,0.071981,-0.83,0.0,5,0.033784,0,0.0
origin_route,MCO,IAD,,,IAD→MCO,,,2024-01-01,2024-12-31,1669,1629,40,3,0.023966,136,0.083487,33,0.020258,7.48,-8.0,47.0,15.77,0.0,43.0,301,0.184776,199,0.122161,129,0.07919,-0.85,0.0,3,0.014851,0,0.0
origin_route,MCO,IAH,,,IAH→MCO,,,2024-01-01,2024-12-31,3756,3670,86,9,0.022897,393,0.107084,99,0.026975,12.11,-7.0,66.0,22.53,0.0,67.0,933,0.254223,688,0.187466,407,0.110899,0.97,0.0,28,0.04023,0,0.0
origin_route,MCO,IND,,,IND→MCO,,,2024-01-01,2024-12-31,2418,2378,40,7,0.016543,183,0.076955,33,0.013877,5.72,-7.0,43.0,16.31,0.0,45.0,479,0.20143,326,0.13709,186,0.078217,0.91,0.0,12,0.036145,0,0.0
