level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,MIA,,,,,,,2024-01-01,2024-12-31,109923,108016,1907,338,0.017349,9504,0.087987,2250,0.02083,11.12,-6.0,53.0,19.83,0.0,52.0,23108,0.213931,16056,0.148645,9287,0.085978,-0.48,0.0,667,0.040733,29,0.003069
origin_route,MIA,AGS,,,AGS→MIA,,,2024-01-01,2024-12-31,9,9,0,0,0.0,0,0.0,0,0.0,0.89,-6.0,25.6,7.0,0.0,16.0,1,0.111111,1,0.111111,0,0.0,0.44,0.0,0,0.0,0,
origin_route,MIA,ALB,,,ALB→MIA,,,2024-01-01,2024-12-31,21,21,0,0,0.0,2,0.095238,1,0.047619,18.71,-6.0,32.0,20.48,0.0,8.0,2,0.095238,2,0.095238,2,0.095238,-9.29,0.0,0,0.0,0,0.0
origin_route,MIA,ATL,,,ATL→MIA,,,2024-01-01,2024-12-31,6699,6623,76,20,0.011345,681,0.102823,152,0.02295,16.97,-1.0,62.0,22.58,0.0,61.0,1702,0.256983,1180,0.178167,674,0.101767,-0.6,0.0,20,0.016598,0,0.0
origin_route,MIA,AUS,,,AUS→MIA,,,2024-01-01,2024-12-31,1832,1804,28,4,0.015284,153,0.084812,47,0.026053,17.87,-4.0,51.0,24.26,0.0,49.0,376,0.208426,262,0.145233,143,0.079268,-1.27,0.0,6,0.022727,0,0.0
origin_route,MIA,AVL,,,AVL→MIA,,,2024-01-01,2024-12-31,153,145,8,1,0.052288,22,0.151724,6,0.041379,24.39,7.5,81.1,33.63,12.5,89.4,65,0.448276,41,0.282759,21,0.144828,4.09,4.0,1,0.02381,0,0.0
origin_route,MIA,BDL,,,BDL→MIA,,,2024-01-01,2024-12-31,482,474,8,1,0.016598,18,0.037975,12,0.025316,2.0,-9.0,19.8,12.86,0.0,13.0,43,0.090717,32,0.067511,19,0.040084,-0.59,0.0,3,0.09375,0,0.0
origin_route,MIA,BHM,,,BHM→MIA,,,2024-01-01,2024-12-31,685,676,9,1,0.013139,57,0.08432,6,0.008876,7.09,-5.0,53.0,14.27,0.0,53.6,138,0.204142,104,0.153846,58,0.085799,0.07,0.0,0,0.0,0,0.0
origin_route,MIA,BNA,,,BNA→MIA,,,2024-01-01,2024-12-31,2531,2484,47,13,0.01857,223,0.089775,49,0.019726,12.64,-4.0,53.0,19.3,0.0,50.0,565,0.227456,382,0.153784,211,0.084944,-0.39,0.0,5,0.012987,0,0.0
origin_route,MIA,BOS,,,BOS→MIA,,,2024-01-01,2024-12-31,3788,3731,57,15,0.015048,288,0.077191,60,0.016081,2.53,-12.0,44.0,15.39,0.0,39.5,631,0.169124,447,0.119807,262,0.070222,-1.0,0.0,30,0.065789,1,0.003745
origin_route,MIA,BUF,,,BUF→MIA,,,2024-01-01,2024-12-31,28,28,0,1,0.0,1,0.035714,0,0.0,7.59,0.0,38.4,10.81,0.0,16.4,3,0.107143,2,0.071429,1,0.035714,-3.63,0.0,0,0.0,0,0.0
origin_route,MIA,BWI,,,BWI→MIA,,,2024-01-01,2024-12-31,2410,2355,55,5,0.022822,197,0.083652,43,0.018259,8.93,-6.0,50.0,19.27,0.0,53.1,592,0.25138,377,0.160085,202,0.085775,0.88,0.0,26,0.06701,0,0.0
origin_route,MIA,CAE,,,CAE→MIA,,,2024-01-01,2024-12-31,13,13,0,0,0.0,1,0.076923,1,0.076923,10.46,-8.0,-2.8,15.92,0.0,6.0,1,0.076923,1,0.076923,1,0.076923,-2.69,0.0,0,0.0,0,0.0
origin_route,MIA,CHA,,,CHA→MIA,,,2024-01-01,2024-12-31,9,9,0,0,0.0,2,0.222222,0,0.0,10.11,-12.0,88.2,13.11,0.0,37.4,2,0.222222,1,0.111111,1,0.111111,-6.56,0.0,0,0.0,0,0.0
origin_route,MIA,CHS,,,CHS→MIA,,,2024-01-01,2024-12-31,790,772,18,1,0.022785,78,0.101036,23,0.029793,14.61,-8.0,61.0,22.49,0.0,60.0,148,0.19171,118,0.15285,77,0.099741,-0.73,0.0,0,0.0,0,0.0
origin_route,MIA,CID,,,CID→MIA,,,2024-01-01,2024-12-31,21,18,3,1,0.142857,0,0.0,0,0.0,-4.71,-6.0,7.8,0.82,0.0,0.0,0,0.0,0,0.0,0,0.0,-2.35,0.0,0,,0,
origin_route,MIA,CLE,,,CLE→MIA,,,2024-01-01,2024-12-31,664,647,17,3,0.025602,42,0.064915,11,0.017002,4.28,-9.0,35.0,15.48,0.0,39.0,126,0.194745,85,0.131376,44,0.068006,0.51,0.0,4,0.045977,0,0.0
origin_route,MIA,CLT,,,CLT→MIA,,,2024-01-01,2024-12-31,3629,3581,48,13,0.013227,333,0.092991,61,0.017034,13.78,-3.0,56.0,20.82,1.0,53.0,893,0.249372,580,0.161966,315,0.087964,-0.03,0.0,12,0.020067,0,0.0
