FlightDate,IATA_CODE_Reporting_Airline,flight_number,Tail_Number,Origin,OriginCityName,Dest,route,CRSDepTime,scheduled_departure_hour,scheduled_departure_bucket,DepTime,DepDelay,DepDelayMinutes,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,Distance
2024-01-01,DL,DL1405.0,N362NW,ABQ,"Albuquerque, NM",MSP,ABQ→MSP,800,8,early_morning,749.0,-11.0,0.0,1141,1144.0,3.0,3.0,False,,False,161.0,175.0,981.0
2024-01-01,OO,OO4238.0,N603SK,ABR,"Aberdeen, SD",MSP,ABR→MSP,834,8,early_morning,1047.0,133.0,133.0,1000,1200.0,120.0,120.0,False,,False,86.0,73.0,257.0
2024-01-01,DL,DL390.0,N510DE,ANC,"Anchorage, AK",MSP,ANC→MSP,2045,20,night,2044.0,-1.0,0.0,521,508.0,-13.0,0.0,False,,False,336.0,324.0,2519.0
2024-01-01,9E,9E5491.0,N604LR,ATL,"Atlanta, GA",MSP,ATL→MSP,1659,16,evening,1657.0,-2.0,0.0,1849,1834.0,-15.0,0.0,False,,False,170.0,157.0,907.0
2024-01-01,DL,DL1280.0,N913DU,ATL,"Atlanta, GA",MSP,ATL→MSP,1830,18,evening,1823.0,-7.0,0.0,2016,1952.0,-24.0,0.0,False,,False,166.0,149.0,907.0
2024-01-01,DL,DL1304.0,N108DN,ATL,"Atlanta, GA",MSP,ATL→MSP,900,9,late_morning,857.0,-3.0,0.0,1046,1022.0,-24.0,0.0,False,,False,166.0,145.0,907.0
2024-01-01,DL,DL1310.0,N593NW,ATL,"Atlanta, GA",MSP,ATL→MSP,2235,22,night,2233.0,-2.0,0.0,19,2356.0,-23.0,0.0,False,,False,164.0,143.0,907.0
2024-01-01,DL,DL1573.0,N546US,ATL,"Atlanta, GA",MSP,ATL→MSP,1543,15,afternoon,1540.0,-3.0,0.0,1723,1710.0,-13.0,0.0,False,,False,160.0,150.0,907.0
2024-01-01,DL,DL2668.0,N128DN,ATL,"Atlanta, GA",MSP,ATL→MSP,705,7,early_morning,704.0,-1.0,0.0,850,829.0,-21.0,0.0,False,,False,165.0,145.0,907.0
2024-01-01,DL,DL2775.0,N397DN,ATL,"Atlanta, GA",MSP,ATL→MSP,1005,10,late_morning,1010.0,5.0,5.0,1153,1135.0,-18.0,0.0,False,,False,168.0,145.0,907.0
2024-01-01,DL,DL2901.0,N881DN,ATL,"Atlanta, GA",MSP,ATL→MSP,1220,12,afternoon,1218.0,-2.0,0.0,1401,1342.0,-19.0,0.0,False,,False,161.0,144.0,907.0
