level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,MSP,,,,,,,2024-01-01,2024-12-31,126793,125647,1146,173,0.009038,8097,0.064442,1894,0.015074,4.23,-9.0,37.0,14.59,0.0,36.0,21138,0.168233,14276,0.11362,8047,0.064045,-0.08,0.0,499,0.03423,18,0.002201
origin_route,MSP,ABQ,,,ABQ→MSP,,,2024-01-01,2024-12-31,244,242,2,0,0.008197,6,0.024793,3,0.012397,-7.45,-15.0,3.9,5.98,0.0,0.0,10,0.041322,9,0.03719,6,0.024793,-0.7,0.0,1,0.111111,0,0.0
origin_route,MSP,ABR,,,ABR→MSP,,,2024-01-01,2024-12-31,728,722,6,0,0.008242,67,0.092798,26,0.036011,10.72,-12.0,51.0,23.31,0.0,49.0,118,0.163435,94,0.130194,65,0.090028,0.18,0.0,2,0.021277,0,0.0
origin_route,MSP,ANC,,,ANC→MSP,,,2024-01-01,2024-12-31,655,650,5,4,0.007634,25,0.038462,7,0.010769,7.02,-5.0,28.0,14.9,0.0,30.0,106,0.163077,64,0.098462,23,0.035385,-0.72,0.0,3,0.045455,0,0.0
origin_route,MSP,ATL,,,ATL→MSP,,,2024-01-01,2024-12-31,3701,3684,17,6,0.004593,170,0.046145,31,0.008415,2.82,-7.0,31.0,12.16,0.0,32.0,642,0.174267,379,0.102877,182,0.049403,0.65,0.0,21,0.05303,0,0.0
origin_route,MSP,ATW,,,ATW→MSP,,,2024-01-01,2024-12-31,948,934,14,2,0.014768,99,0.105996,31,0.033191,15.04,-8.0,63.9,23.16,0.0,59.8,162,0.173448,122,0.130621,93,0.099572,-2.22,0.0,0,0.0,0,0.0
origin_route,MSP,AUS,,,AUS→MSP,,,2024-01-01,2024-12-31,1402,1398,4,1,0.002853,105,0.075107,30,0.021459,7.31,-8.0,40.4,17.69,0.0,42.4,281,0.201001,181,0.129471,104,0.074392,0.84,0.0,1,0.005376,0,0.0
origin_route,MSP,AVL,,,AVL→MSP,,,2024-01-01,2024-12-31,251,247,4,2,0.015936,34,0.137652,3,0.012146,18.4,3.0,70.6,29.32,9.0,77.0,107,0.433198,70,0.283401,37,0.149798,3.09,0.0,2,0.028571,0,0.0
origin_route,MSP,AZA,,,AZA→MSP,,,2024-01-01,2024-12-31,62,62,0,0,0.0,2,0.032258,0,0.0,-7.77,-14.0,9.0,6.03,0.0,13.7,6,0.096774,3,0.048387,2,0.032258,0.55,0.0,0,0.0,0,0.0
origin_route,MSP,BDL,,,BDL→MSP,,,2024-01-01,2024-12-31,893,887,6,2,0.006719,48,0.054115,12,0.013529,0.39,-10.0,23.0,12.05,0.0,26.0,127,0.143179,73,0.0823,44,0.049605,0.28,0.0,3,0.038961,0,0.0
origin_route,MSP,BIL,,,BIL→MSP,,,2024-01-01,2024-12-31,425,419,6,3,0.014118,15,0.0358,6,0.01432,5.57,-10.0,22.0,14.17,0.0,8.0,37,0.088305,30,0.071599,14,0.033413,-1.47,0.0,0,0.0,0,0.0
origin_route,MSP,BIS,,,BIS→MSP,,,2024-01-01,2024-12-31,1563,1554,9,1,0.005758,113,0.072716,34,0.021879,6.55,-9.0,41.0,15.67,0.0,32.8,233,0.149936,161,0.103604,104,0.066924,-1.01,0.0,0,0.0,0,0.0
origin_route,MSP,BJI,,,BJI→MSP,,,2024-01-01,2024-12-31,730,723,7,0,0.009589,66,0.091286,27,0.037344,9.92,-11.0,50.6,21.61,0.0,48.8,119,0.164592,85,0.117566,64,0.08852,-0.46,0.0,0,0.0,0,0.0
origin_route,MSP,BNA,,,BNA→MSP,,,2024-01-01,2024-12-31,1627,1616,11,2,0.006761,72,0.044554,21,0.012995,-1.15,-11.0,23.0,10.99,0.0,25.0,212,0.131188,139,0.086015,68,0.042079,0.62,0.0,3,0.021277,0,0.0
origin_route,MSP,BOI,,,BOI→MSP,,,2024-01-01,2024-12-31,812,801,11,3,0.013547,43,0.053683,14,0.017478,7.49,-3.0,31.9,12.78,0.0,26.3,122,0.15231,68,0.084894,42,0.052434,-1.22,0.0,2,0.028986,0,0.0
origin_route,MSP,BOS,,,BOS→MSP,,,2024-01-01,2024-12-31,2162,2145,17,3,0.007863,133,0.062005,23,0.010723,0.98,-9.0,37.0,13.96,0.0,39.9,393,0.183217,259,0.120746,141,0.065734,0.86,0.0,24,0.089888,2,0.014184
origin_route,MSP,BRD,,,BRD→MSP,,,2024-01-01,2024-12-31,649,645,4,0,0.006163,48,0.074419,10,0.015504,2.34,-15.0,38.0,15.04,0.0,30.0,88,0.136434,64,0.099225,46,0.071318,-1.21,0.0,1,0.014925,0,0.0
