level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,ORD,,,,,,,2024-01-01,2024-12-31,280009,275937,4072,782,0.014542,21724,0.078728,5152,0.018671,7.9,-7.0,46.0,16.55,0.0,43.0,48773,0.176754,34366,0.124543,20690,0.074981,-1.1,0.0,1271,0.036222,39,0.001857
origin_route,ORD,ABE,,,ABE→ORD,,,2024-01-01,2024-12-31,315,303,12,4,0.038095,48,0.158416,18,0.059406,22.31,-12.0,115.2,36.54,0.0,130.8,57,0.188119,54,0.178218,47,0.155116,1.07,0.0,0,0.0,0,0.0
origin_route,ORD,ABQ,,,ABQ→ORD,,,2024-01-01,2024-12-31,828,823,5,3,0.006039,48,0.058323,5,0.006075,2.21,-9.0,33.1,12.26,0.0,35.1,126,0.153098,86,0.104496,43,0.052248,-0.2,0.0,3,0.034091,0,0.0
origin_route,ORD,ACK,,,ACK→ORD,,,2024-01-01,2024-12-31,38,37,1,0,0.026316,4,0.108108,3,0.081081,23.89,-1.0,70.8,35.16,9.0,73.8,15,0.405405,7,0.189189,4,0.108108,2.97,0.0,0,0.0,0,0.0
origin_route,ORD,AGS,,,AGS→ORD,,,2024-01-01,2024-12-31,12,12,0,0,0.0,0,0.0,0,0.0,-3.25,-2.5,24.3,7.58,0.0,23.2,3,0.25,0,0.0,0,0.0,0.5,0.0,0,,0,
origin_route,ORD,ALB,,,ALB→ORD,,,2024-01-01,2024-12-31,1271,1261,10,1,0.007868,82,0.065028,13,0.010309,1.98,-8.0,36.0,10.4,0.0,22.0,157,0.124504,105,0.083267,59,0.046788,-3.03,0.0,3,0.027523,0,0.0
origin_route,ORD,ANC,,,ANC→ORD,,,2024-01-01,2024-12-31,783,775,8,3,0.010217,50,0.064516,6,0.007742,7.76,-3.5,42.9,15.99,0.0,37.0,152,0.196129,97,0.125161,51,0.065806,-1.49,0.0,6,0.061856,1,0.019231
origin_route,ORD,ASE,,,ASE→ORD,,,2024-01-01,2024-12-31,996,931,65,19,0.065261,147,0.157895,45,0.048335,22.52,-4.0,101.9,33.78,0.0,104.0,297,0.319012,227,0.243824,160,0.171858,1.32,0.0,8,0.034043,1,0.006211
origin_route,ORD,ATL,,,ATL→ORD,,,2024-01-01,2024-12-31,5668,5602,66,18,0.011644,459,0.081935,101,0.018029,11.59,-4.0,49.0,17.55,0.0,45.0,1127,0.201178,741,0.132274,439,0.078365,-1.6,0.0,13,0.017196,0,0.0
origin_route,ORD,ATW,,,ATW→ORD,,,2024-01-01,2024-12-31,1868,1816,52,0,0.027837,229,0.126101,53,0.029185,19.94,-3.0,86.5,25.67,0.0,80.5,424,0.23348,340,0.187225,225,0.123899,-1.63,0.0,3,0.008671,0,0.0
