level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,PHX,,,,,,,2024-01-01,2024-12-31,193542,192234,1308,213,0.006758,11659,0.06065,2409,0.012532,6.46,-6.0,36.0,15.43,0.0,39.0,36012,0.187334,23246,0.120926,12155,0.06323,0.51,0.0,900,0.037775,71,0.005735
origin_route,PHX,ABQ,,,ABQ→PHX,,,2024-01-01,2024-12-31,3243,3237,6,3,0.00185,158,0.048811,27,0.008341,3.93,-6.0,31.0,11.43,0.0,31.0,528,0.163114,332,0.102564,162,0.050046,0.08,0.0,0,0.0,0,0.0
origin_route,PHX,AGS,,,AGS→PHX,,,2024-01-01,2024-12-31,2,2,0,0,0.0,1,0.5,0,0.0,26.0,26.0,54.0,25.0,25.0,45.0,1,0.5,1,0.5,0,0.0,-5.5,-5.5,0,0.0,0,
origin_route,PHX,ANC,,,ANC→PHX,,,2024-01-01,2024-12-31,353,347,6,0,0.016997,8,0.023055,0,0.0,-0.65,-4.0,18.0,6.58,0.0,17.8,40,0.115274,21,0.060519,8,0.023055,-0.56,0.0,2,0.090909,0,0.0
origin_route,PHX,ASE,,,ASE→PHX,,,2024-01-01,2024-12-31,100,87,13,0,0.13,12,0.137931,4,0.045977,21.68,5.0,74.4,29.47,2.0,92.6,32,0.367816,23,0.264368,16,0.183908,1.21,0.0,1,0.043478,0,0.0
origin_route,PHX,ATL,,,ATL→PHX,,,2024-01-01,2024-12-31,3680,3661,19,10,0.005163,211,0.057635,50,0.013657,10.33,-1.0,36.0,16.2,0.0,39.0,724,0.19776,450,0.122917,237,0.064736,-0.25,0.0,22,0.047414,1,0.004149
origin_route,PHX,AUS,,,AUS→PHX,,,2024-01-01,2024-12-31,3480,3459,21,4,0.006034,242,0.069962,63,0.018213,12.03,-5.0,41.0,20.46,0.0,42.0,726,0.209887,472,0.136456,253,0.073143,0.97,0.0,5,0.010438,0,0.0
origin_route,PHX,AVL,,,AVL→PHX,,,2024-01-01,2024-12-31,105,102,3,0,0.028571,9,0.088235,2,0.019608,9.85,-12.0,45.2,24.33,0.0,45.6,25,0.245098,14,0.137255,8,0.078431,0.95,0.0,1,0.071429,0,0.0
origin_route,PHX,BFL,,,BFL→PHX,,,2024-01-01,2024-12-31,1196,1193,3,1,0.002508,62,0.05197,14,0.011735,0.71,-9.0,21.0,10.46,0.0,24.0,138,0.115675,104,0.087175,62,0.05197,0.07,0.0,0,0.0,0,0.0
origin_route,PHX,BHM,,,BHM→PHX,,,2024-01-01,2024-12-31,50,50,0,0,0.0,2,0.04,0,0.0,2.82,-4.0,20.0,12.48,1.5,32.0,14,0.28,6,0.12,2,0.04,2.22,0.0,1,0.166667,0,0.0
origin_route,PHX,BIL,,,BIL→PHX,,,2024-01-01,2024-12-31,149,149,0,0,0.0,9,0.060403,1,0.006711,3.41,-4.0,23.0,8.79,0.0,2.2,9,0.060403,7,0.04698,6,0.040268,-5.72,0.0,1,0.142857,0,0.0
origin_route,PHX,BNA,,,BNA→PHX,,,2024-01-01,2024-12-31,2259,2244,15,4,0.00664,117,0.052139,21,0.009358,4.64,-5.0,35.0,15.09,1.0,41.0,524,0.233512,295,0.131462,130,0.057932,1.99,0.0,22,0.072848,0,0.0
origin_route,PHX,BOI,,,BOI→PHX,,,2024-01-01,2024-12-31,1704,1702,2,0,0.001174,79,0.046416,20,0.011751,3.71,-6.0,27.9,12.46,0.0,29.0,258,0.151586,167,0.09812,80,0.047004,0.37,0.0,2,0.011834,0,0.0
origin_route,PHX,BOS,,,BOS→PHX,,,2024-01-01,2024-12-31,2150,2141,9,7,0.004186,161,0.075199,31,0.014479,1.66,-11.0,40.7,18.25,0.0,49.0,434,0.202709,307,0.143391,175,0.081738,1.36,0.0,38,0.120635,9,0.050562
origin_route,PHX,BUF,,,BUF→PHX,,,2024-01-01,2024-12-31,208,207,1,1,0.004808,6,0.028986,0,0.0,-0.72,-5.0,28.0,9.83,0.0,28.5,44,0.21256,17,0.082126,6,0.028986,1.05,0.0,3,0.157895,0,0.0
origin_route,PHX,BUR,,,BUR→PHX,,,2024-01-01,2024-12-31,3167,3147,20,1,0.006315,163,0.051795,22,0.006991,3.02,-10.0,26.0,13.96,0.0,33.0,498,0.158246,333,0.105815,180,0.057197,1.26,0.0,6,0.017699,0,0.0
origin_route,PHX,BWI,,,BWI→PHX,,,2024-01-01,2024-12-31,1128,1123,5,2,0.004433,69,0.061443,7,0.006233,5.29,-2.0,44.0,16.96,5.0,44.0,352,0.313446,195,0.173642,70,0.062333,2.71,0.0,26,0.128713,2,0.027027
origin_route,PHX,CID,,,CID→PHX,,,2024-01-01,2024-12-31,632,623,9,2,0.014241,34,0.054575,8,0.012841,6.74,-4.0,31.0,13.54,0.0,32.0,97,0.155698,67,0.107544,35,0.05618,-0.79,0.0,4,0.056338,0,0.0
origin_route,PHX,CLE,,,CLE→PHX,,,2024-01-01,2024-12-31,873,864,9,1,0.010309,55,0.063657,12,0.013889,8.08,-3.0,37.0,18.54,0.0,41.0,196,0.226852,109,0.126157,64,0.074074,1.09,0.0,10,0.087719,0,0.0
origin_route,PHX,CLT,,,CLT→PHX,,,2024-01-01,2024-12-31,3038,3019,19,5,0.006254,248,0.082146,35,0.011593,8.8,-4.0,52.0,18.76,1.0,53.0,816,0.270288,546,0.180855,275,0.09109,1.32,0.0,36,0.064632,0,0.0
origin_route,PHX,CMH,,,CMH→PHX,,,2024-01-01,2024-12-31,1039,1036,3,1,0.002887,50,0.048263,14,0.013514,2.69,-10.0,22.6,15.69,0.0,27.0,135,0.130309,93,0.089768,50,0.048263,0.82,0.0,9,0.09375,1,0.019608
origin_route,PHX,COS,,,COS→PHX,,,2024-01-01,2024-12-31,976,972,4,0,0.004098,46,0.047325,11,0.011317,3.31,-6.0,28.0,11.81,0.0,31.0,165,0.169753,100,0.102881,47,0.048354,0.73,0.0,1,0.01,0,0.0
origin_route,PHX,CVG,,,CVG→PHX,,,2024-01-01,2024-12-31,571,565,6,1,0.010508,43,0.076106,12,0.021239,9.22,-4.0,41.0,18.79,0.0,38.7,112,0.19823,68,0.120354,42,0.074336,-0.21,0.0,4,0.057143,0,0.0
origin_route,PHX,DAL,,,DAL→PHX,,,2024-01-01,2024-12-31,3089,3060,29,0,0.009388,201,0.065686,33,0.010784,7.69,-3.0,41.0,15.95,2.0,45.0,774,0.252941,455,0.148693,200,0.065359,1.91,0.0,12,0.025532,0,0.0
origin_route,PHX,DCA,,,DCA→PHX,,,2024-01-01,2024-12-31,1094,1088,6,5,0.005484,36,0.033088,16,0.014706,-3.79,-13.0,19.0,10.66,0.0,14.0,104,0.095588,73,0.067096,36,0.033088,-0.22,0.0,11,0.142857,3,0.083333
origin_route,PHX,DEN,,,DEN→PHX,,,2024-01-01,2024-12-31,9446,9345,101,5,0.010692,684,0.073194,84,0.008989,7.56,-4.0,44.0,15.25,0.0,45.0,2166,0.231782,1341,0.143499,681,0.072873,0.67,0.0,32,0.023239,2,0.002882
origin_route,PHX,DFW,,,DFW→PHX,,,2024-01-01,2024-12-31,5205,5135,70,8,0.013449,567,0.110419,110,0.021422,18.73,0.0,66.0,25.77,1.0,70.0,1612,0.313924,1110,0.216164,597,0.116261,1.18,0.0,32,0.028021,1,0.00165
origin_route,PHX,DRO,,,DRO→PHX,,,2024-01-01,2024-12-31,944,942,2,0,0.002119,48,0.050955,14,0.014862,3.05,-8.0,29.0,11.49,0.0,23.9,115,0.122081,77,0.081741,46,0.048832,-1.37,0.0,0,0.0,0,0.0
