level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,SEA,,,,,,,2024-01-01,2024-12-31,163707,161656,2051,257,0.012528,8458,0.052321,1399,0.008654,3.01,-6.0,34.0,12.3,0.0,34.0,28618,0.17703,17637,0.109102,8578,0.053063,-0.18,0.0,1105,0.060922,74,0.008423
origin_route,SEA,ABQ,,,ABQ→SEA,,,2024-01-01,2024-12-31,415,411,4,1,0.009639,21,0.051095,4,0.009732,4.54,-5.0,36.0,13.01,0.0,40.0,87,0.211679,50,0.121655,21,0.051095,-0.24,0.0,3,0.06,0,0.0
origin_route,SEA,ALW,,,ALW→SEA,,,2024-01-01,2024-12-31,544,526,18,0,0.033088,21,0.039924,2,0.003802,2.82,-4.0,21.5,5.78,0.0,12.5,45,0.085551,32,0.060837,16,0.030418,-2.61,0.0,0,0.0,0,0.0
origin_route,SEA,ANC,,,ANC→SEA,,,2024-01-01,2024-12-31,7587,7499,88,8,0.011599,276,0.036805,53,0.007068,-0.34,-8.0,24.0,10.07,0.0,26.0,1121,0.149487,648,0.086412,283,0.037738,0.03,0.0,49,0.073025,2,0.006944
origin_route,SEA,ATL,,,ATL→SEA,,,2024-01-01,2024-12-31,3537,3496,41,3,0.011592,146,0.041762,20,0.005721,-1.43,-8.0,28.0,11.27,0.0,31.0,619,0.177059,364,0.104119,161,0.046053,0.98,0.0,46,0.12234,3,0.017647
origin_route,SEA,AUS,,,AUS→SEA,,,2024-01-01,2024-12-31,2022,1986,36,8,0.017804,125,0.062941,21,0.010574,3.45,-6.0,37.0,12.98,0.0,37.0,362,0.182276,224,0.11279,117,0.058912,0.0,0.0,8,0.034934,0,0.0
origin_route,SEA,BLI,,,BLI→SEA,,,2024-01-01,2024-12-31,965,958,7,0,0.007254,49,0.051148,12,0.012526,12.4,3.0,34.0,12.81,0.0,29.0,154,0.160752,93,0.097077,44,0.045929,-2.37,0.0,0,0.0,0,0.0
origin_route,SEA,BNA,,,BNA→SEA,,,2024-01-01,2024-12-31,1312,1298,14,0,0.010671,43,0.033128,9,0.006934,-1.82,-8.0,26.0,9.89,0.0,25.3,192,0.14792,108,0.083205,44,0.033898,-0.21,0.0,8,0.071429,1,0.021739
origin_route,SEA,BOI,,,BOI→SEA,,,2024-01-01,2024-12-31,3711,3703,8,4,0.002156,156,0.042128,28,0.007561,1.97,-6.0,29.2,8.13,0.0,20.0,423,0.114232,274,0.073994,127,0.034297,-2.61,0.0,4,0.014184,0,0.0
origin_route,SEA,BOS,,,BOS→SEA,,,2024-01-01,2024-12-31,2581,2558,23,3,0.008911,172,0.06724,30,0.011728,1.47,-8.0,41.0,14.64,0.0,41.0,514,0.200938,335,0.130962,172,0.06724,-0.06,0.0,36,0.104046,6,0.034682
