FlightDate,IATA_CODE_Reporting_Airline,flight_number,Tail_Number,Origin,OriginCityName,Dest,route,CRSDepTime,scheduled_departure_hour,scheduled_departure_bucket,DepTime,DepDelay,DepDelayMinutes,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,Distance
2024-01-01,UA,UA341.0,N17262,ABQ,"Albuquerque, NM",SFO,ABQ→SFO,1529,15,afternoon,1523.0,-6.0,0.0,1715,1646.0,-29.0,0.0,False,,False,166.0,143.0,896.0
2024-01-01,OO,OO4654.0,N792SK,ACV,"Arcata/Eureka, CA",SFO,ACV→SFO,1638,16,evening,1631.0,-7.0,0.0,1751,1733.0,-18.0,0.0,False,,False,73.0,62.0,250.0
2024-01-01,OO,OO4655.0,N610UX,ACV,"Arcata/Eureka, CA",SFO,ACV→SFO,1417,14,afternoon,1407.0,-10.0,0.0,1534,1513.0,-21.0,0.0,False,,False,77.0,66.0,250.0
2024-01-01,OO,OO5313.0,N139SY,ACV,"Arcata/Eureka, CA",SFO,ACV→SFO,625,6,early_morning,615.0,-10.0,0.0,742,716.0,-26.0,0.0,False,,False,77.0,61.0,250.0
2024-01-01,OO,OO5333.0,N788SK,ASE,"Aspen, CO",SFO,ASE→SFO,1915,19,evening,1914.0,-1.0,0.0,2102,2024.0,-38.0,0.0,False,,False,167.0,130.0,848.0
2024-01-01,OO,OO5745.0,N795SK,ASE,"Aspen, CO",SFO,ASE→SFO,1000,10,late_morning,953.0,-7.0,0.0,1159,1142.0,-17.0,0.0,False,,False,179.0,169.0,848.0
2024-01-01,DL,DL1195.0,N179DN,ATL,"Atlanta, GA",SFO,ATL→SFO,1500,15,afternoon,1459.0,-1.0,0.0,1722,1723.0,1.0,1.0,False,,False,322.0,324.0,2139.0
2024-01-01,DL,DL324.0,N194DN,ATL,"Atlanta, GA",SFO,ATL→SFO,1025,10,late_morning,1024.0,-1.0,0.0,1251,1222.0,-29.0,0.0,False,,False,326.0,298.0,2139.0
2024-01-01,DL,DL656.0,N865DN,ATL,"Atlanta, GA",SFO,ATL→SFO,2125,21,night,2144.0,19.0,19.0,2352,2343.0,-9.0,0.0,False,,False,327.0,299.0,2139.0
2024-01-01,DL,DL736.0,N848DN,ATL,"Atlanta, GA",SFO,ATL→SFO,1825,18,evening,1825.0,0.0,0.0,2050,2104.0,14.0,14.0,False,,False,325.0,339.0,2139.0
2024-01-01,DL,DL884.0,N907DN,ATL,"Atlanta, GA",SFO,ATL→SFO,825,8,early_morning,823.0,-2.0,0.0,1054,1017.0,-37.0,0.0,False,,False,329.0,294.0,2139.0
2024-01-01,F9,F91447.0,N371FR,ATL,"Atlanta, GA",SFO,ATL→SFO,1911,19,evening,1917.0,6.0,6.0,2200,2128.0,-32.0,0.0,False,,False,349.0,311.0,2139.0
