level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,SFO,,,,,,,2024-01-01,2024-12-31,135075,133213,1862,297,0.013785,13134,0.098594,2114,0.015869,13.18,-1.0,60.0,19.73,0.0,58.0,34999,0.26273,24387,0.183068,12504,0.093865,-1.23,0.0,985,0.039511,74,0.005787
origin_route,SFO,ABQ,,,ABQ→SFO,,,2024-01-01,2024-12-31,581,573,8,2,0.013769,34,0.059337,12,0.020942,4.16,-8.0,38.0,13.13,0.0,38.0,96,0.167539,71,0.123909,34,0.059337,-0.97,0.0,2,0.027397,0,0.0
origin_route,SFO,ACV,,,ACV→SFO,,,2024-01-01,2024-12-31,1053,1028,25,0,0.023742,121,0.117704,37,0.035992,21.11,-4.0,70.0,26.0,0.0,60.0,223,0.216926,167,0.162451,102,0.099222,-3.03,0.0,1,0.005988,0,0.0
origin_route,SFO,ANC,,,ANC→SFO,,,2024-01-01,2024-12-31,264,261,3,0,0.011364,8,0.030651,1,0.003831,3.1,-7.0,28.0,14.15,0.0,33.0,47,0.180077,30,0.114943,8,0.030651,0.51,0.0,4,0.129032,0,0.0
origin_route,SFO,ASE,,,ASE→SFO,,,2024-01-01,2024-12-31,333,311,22,3,0.066066,62,0.199357,16,0.051447,37.16,3.0,99.2,47.56,2.5,111.2,125,0.401929,103,0.33119,61,0.196141,0.19,0.0,8,0.07619,0,0.0
origin_route,SFO,ATL,,,ATL→SFO,,,2024-01-01,2024-12-31,3125,3097,28,5,0.00896,256,0.082661,25,0.008072,11.43,1.0,52.9,17.63,0.0,51.9,847,0.27349,523,0.168873,246,0.079432,-0.66,0.0,31,0.057728,1,0.003968
origin_route,SFO,AUS,,,AUS→SFO,,,2024-01-01,2024-12-31,2001,1952,49,3,0.024488,195,0.099898,38,0.019467,13.11,-3.0,60.2,19.83,0.0,58.2,495,0.253586,348,0.178279,185,0.094775,-0.55,0.0,14,0.038781,0,0.0
origin_route,SFO,BFL,,,BFL→SFO,,,2024-01-01,2024-12-31,482,478,4,3,0.008299,20,0.041841,3,0.006276,-1.31,-14.0,33.6,9.81,0.0,29.6,63,0.131799,47,0.098326,19,0.039749,-1.13,0.0,4,0.083333,0,0.0
origin_route,SFO,BIH,,,BIH→SFO,,,2024-01-01,2024-12-31,171,161,10,1,0.05848,20,0.124224,7,0.043478,5.93,-17.0,68.1,22.68,0.0,75.9,39,0.242236,30,0.186335,20,0.124224,0.66,0.0,1,0.033333,0,0.0
origin_route,SFO,BNA,,,BNA→SFO,,,2024-01-01,2024-12-31,623,600,23,1,0.036918,63,0.105,6,0.01,16.44,3.0,65.0,23.05,2.0,65.0,201,0.335,137,0.228333,66,0.11,0.92,0.0,12,0.083916,1,0.014286
origin_route,SFO,BOI,,,BOI→SFO,,,2024-01-01,2024-12-31,1479,1471,8,10,0.005409,126,0.085656,27,0.018355,11.43,-5.0,52.0,17.8,0.0,46.0,301,0.204623,220,0.149558,104,0.0707,-2.4,0.0,3,0.013393,0,0.0
origin_route,SFO,BOS,,,BOS→SFO,,,2024-01-01,2024-12-31,4446,4403,43,14,0.009672,381,0.086532,42,0.009539,5.67,-6.0,54.0,18.09,0.0,59.2,1098,0.249375,771,0.175108,430,0.097661,0.88,0.0,76,0.097311,12,0.027335
origin_route,SFO,BUR,,,BUR→SFO,,,2024-01-01,2024-12-31,3121,3072,49,14,0.0157,352,0.114583,46,0.014974,15.72,1.0,67.0,20.4,0.0,63.0,865,0.281576,634,0.20638,326,0.10612,-2.28,0.0,9,0.01391,0,0.0
origin_route,SFO,BWI,,,BWI→SFO,,,2024-01-01,2024-12-31,463,443,20,1,0.043197,17,0.038375,1,0.002257,-4.15,-10.0,25.9,8.22,0.0,23.0,58,0.130926,32,0.072235,16,0.036117,-0.54,0.0,5,0.15625,0,0.0
origin_route,SFO,BZN,,,BZN→SFO,,,2024-01-01,2024-12-31,424,416,8,0,0.018868,52,0.125,6,0.014423,14.22,-3.0,71.0,22.76,0.0,68.0,129,0.310096,90,0.216346,51,0.122596,0.25,0.0,1,0.011111,1,0.019231
origin_route,SFO,CLE,,,CLE→SFO,,,2024-01-01,2024-12-31,470,459,11,0,0.023404,9,0.019608,3,0.006536,-5.59,-10.0,17.0,6.29,0.0,13.0,39,0.084967,23,0.050109,13,0.028322,-0.45,0.0,2,0.086957,1,0.076923
origin_route,SFO,CLT,,,CLT→SFO,,,2024-01-01,2024-12-31,1617,1603,14,5,0.008658,220,0.137243,38,0.023706,22.39,6.0,79.0,29.02,6.0,76.3,611,0.38116,419,0.261385,225,0.140362,-0.07,0.0,26,0.060748,4,0.017544
origin_route,SFO,CMH,,,CMH→SFO,,,2024-01-01,2024-12-31,329,324,5,0,0.015198,41,0.126543,9,0.027778,23.04,5.0,71.7,32.52,9.0,81.6,143,0.441358,96,0.296296,48,0.148148,4.15,1.0,14,0.14433,2,0.040816
origin_route,SFO,DAL,,,DAL→SFO,,,2024-01-01,2024-12-31,22,21,1,0,0.045455,1,0.047619,1,0.047619,4.86,-5.0,29.0,15.71,2.0,29.0,3,0.142857,1,0.047619,1,0.047619,1.48,0.0,0,0.0,0,0.0
origin_route,SFO,DCA,,,DCA→SFO,,,2024-01-01,2024-12-31,729,727,2,1,0.002743,51,0.070151,13,0.017882,3.4,-7.0,41.0,16.31,0.0,43.0,159,0.218707,96,0.13205,51,0.070151,1.15,0.0,11,0.111111,0,0.0
origin_route,SFO,DEN,,,DEN→SFO,,,2024-01-01,2024-12-31,5546,5482,64,5,0.01154,618,0.112733,74,0.013499,15.5,1.0,68.0,22.32,3.0,69.0,1754,0.319956,1242,0.22656,640,0.116746,0.45,0.0,46,0.036335,0,0.0
