level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,SJU,,,,,,,2024-01-01,2024-12-31,35435,35034,401,75,0.011316,3231,0.092225,601,0.017155,11.72,-4.0,56.0,20.33,0.0,57.0,9288,0.265114,6102,0.174174,3261,0.093081,0.44,0.0,266,0.042731,12,0.003612
origin_route,SJU,ATL,,,ATL→SJU,,,2024-01-01,2024-12-31,2117,2108,9,5,0.004251,135,0.064042,14,0.006641,7.97,-3.0,43.0,13.91,0.0,40.8,448,0.212524,273,0.129507,137,0.064991,-0.25,0.0,9,0.032491,0,0.0
origin_route,SJU,AUS,,,AUS→SJU,,,2024-01-01,2024-12-31,30,30,0,0,0.0,2,0.066667,0,0.0,10.1,-2.0,40.6,18.77,5.5,42.2,9,0.3,8,0.266667,2,0.066667,3.73,3.5,0,0.0,0,0.0
origin_route,SJU,BDL,,,BDL→SJU,,,2024-01-01,2024-12-31,1000,981,19,2,0.019,173,0.176351,28,0.028542,28.72,6.0,91.0,35.99,11.0,89.0,423,0.431193,296,0.301733,159,0.16208,0.12,0.0,14,0.04698,1,0.006173
origin_route,SJU,BNA,,,BNA→SJU,,,2024-01-01,2024-12-31,48,48,0,0,0.0,1,0.020833,0,0.0,7.27,4.0,29.0,11.21,5.5,31.0,12,0.25,6,0.125,1,0.020833,1.17,0.0,0,0.0,0,0.0
origin_route,SJU,BOS,,,BOS→SJU,,,2024-01-01,2024-12-31,2040,2014,26,3,0.012745,241,0.119662,46,0.02284,18.29,0.0,71.0,24.24,3.0,67.0,603,0.299404,402,0.199603,232,0.115194,-1.22,0.0,15,0.036675,1,0.004237
origin_route,SJU,BWI,,,BWI→SJU,,,2024-01-01,2024-12-31,1334,1315,19,3,0.014243,113,0.085932,14,0.010646,12.3,-1.0,53.0,21.74,6.0,56.0,445,0.338403,274,0.208365,123,0.093536,2.07,0.0,17,0.060714,0,0.0
origin_route,SJU,CLE,,,CLE→SJU,,,2024-01-01,2024-12-31,203,198,5,1,0.024631,25,0.126263,4,0.020202,17.68,0.0,77.4,22.55,0.0,62.8,47,0.237374,37,0.186869,21,0.106061,-2.54,0.0,3,0.081081,0,0.0
origin_route,SJU,CLT,,,CLT→SJU,,,2024-01-01,2024-12-31,1107,1101,6,3,0.00542,98,0.08901,27,0.024523,17.04,-5.0,54.3,26.91,0.0,52.0,290,0.263397,192,0.174387,100,0.090827,0.73,0.0,11,0.056122,0,0.0
origin_route,SJU,DCA,,,DCA→SJU,,,2024-01-01,2024-12-31,366,365,1,2,0.002732,31,0.084932,6,0.016438,6.61,-7.0,51.0,13.98,0.0,30.8,58,0.158904,37,0.10137,24,0.065753,-3.39,0.0,0,0.0,0,0.0
origin_route,SJU,DEN,,,DEN→SJU,,,2024-01-01,2024-12-31,307,305,2,0,0.006515,11,0.036066,2,0.006557,7.51,2.0,35.6,8.82,0.0,21.8,45,0.147541,18,0.059016,10,0.032787,-4.36,0.0,1,0.05,0,0.0
origin_route,SJU,DFW,,,DFW→SJU,,,2024-01-01,2024-12-31,948,940,8,4,0.008439,107,0.11383,15,0.015957,15.1,0.0,68.5,22.7,2.0,67.0,291,0.309574,206,0.219149,106,0.112766,0.15,0.0,10,0.048309,0,0.0
origin_route,SJU,DTW,,,DTW→SJU,,,2024-01-01,2024-12-31,324,324,0,2,0.0,15,0.046296,4,0.012346,2.55,-5.0,26.8,9.24,0.0,20.0,37,0.114198,22,0.067901,13,0.040123,-2.02,0.0,1,0.043478,0,0.0
origin_route,SJU,EWR,,,EWR→SJU,,,2024-01-01,2024-12-31,2252,2222,30,6,0.013321,245,0.110261,55,0.024752,14.36,-4.0,64.5,22.16,0.0,61.0,582,0.261926,399,0.179568,224,0.10081,-1.28,0.0,18,0.044554,0,0.0
origin_route,SJU,FLL,,,FLL→SJU,,,2024-01-01,2024-12-31,2409,2386,23,1,0.009548,185,0.077536,29,0.012154,10.0,-3.0,49.0,18.44,2.0,50.6,708,0.296731,439,0.18399,190,0.079631,1.69,0.0,11,0.024664,0,0.0
origin_route,SJU,HOU,,,HOU→SJU,,,2024-01-01,2024-12-31,105,104,1,0,0.009524,10,0.096154,2,0.019231,23.63,11.5,56.5,23.99,14.0,60.4,46,0.442308,18,0.173077,11,0.105769,-1.54,0.0,0,0.0,0,0.0
origin_route,SJU,HPN,,,HPN→SJU,,,2024-01-01,2024-12-31,64,64,0,0,0.0,8,0.125,2,0.03125,20.77,1.5,68.0,17.75,0.0,42.1,12,0.1875,9,0.140625,2,0.03125,-9.44,-1.5,0,0.0,0,0.0
origin_route,SJU,IAD,,,IAD→SJU,,,2024-01-01,2024-12-31,420,417,3,1,0.007143,22,0.052758,5,0.01199,0.26,-9.0,25.5,10.13,0.0,17.5,45,0.107914,28,0.067146,19,0.045564,-1.07,0.0,1,0.035714,0,0.0
origin_route,SJU,IAH,,,IAH→SJU,,,2024-01-01,2024-12-31,953,936,17,2,0.017838,77,0.082265,20,0.021368,6.95,-9.0,48.7,19.34,0.0,58.7,196,0.209402,148,0.15812,90,0.096154,0.75,0.0,14,0.092715,2,0.021505
origin_route,SJU,JAX,,,JAX→SJU,,,2024-01-01,2024-12-31,256,247,9,0,0.035156,29,0.117409,10,0.040486,19.67,-5.0,67.4,29.46,0.0,72.2,73,0.295547,48,0.194332,28,0.11336,0.63,0.0,1,0.019608,0,0.0
origin_route,SJU,JFK,,,JFK→SJU,,,2024-01-01,2024-12-31,3725,3689,36,3,0.009664,395,0.107075,82,0.022228,12.18,-5.0,64.0,22.2,0.0,63.0,1020,0.276498,685,0.185687,386,0.104635,0.04,0.0,43,0.06108,3,0.007557
origin_route,SJU,MCO,,,MCO→SJU,,,2024-01-01,2024-12-31,6308,6239,69,11,0.010938,495,0.07934,85,0.013624,8.88,-4.0,48.0,18.93,1.0,55.0,1707,0.273602,1081,0.173265,560,0.089758,2.82,0.0,31,0.027903,0,0.0
origin_route,SJU,MDW,,,MDW→SJU,,,2024-01-01,2024-12-31,111,108,3,1,0.027027,5,0.046296,0,0.0,6.44,1.0,41.0,13.56,2.0,40.2,28,0.259259,15,0.138889,6,0.055556,-0.21,0.0,1,0.066667,0,0.0
origin_route,SJU,MIA,,,MIA→SJU,,,2024-01-01,2024-12-31,2963,2935,28,6,0.00945,282,0.096082,54,0.018399,10.31,-7.0,58.0,20.17,0.0,58.0,723,0.246337,507,0.172743,285,0.097104,0.72,0.0,14,0.027132,1,0.00346
origin_route,SJU,MSP,,,MSP→SJU,,,2024-01-01,2024-12-31,129,128,1,1,0.007752,3,0.023438,0,0.0,-13.54,-18.0,15.2,5.77,0.0,13.4,11,0.085938,5,0.039062,3,0.023438,0.28,0.0,0,0.0,0,0.0
origin_route,SJU,MSY,,,MSY→SJU,,,2024-01-01,2024-12-31,100,98,2,0,0.02,5,0.05102,2,0.020408,-1.05,-11.0,28.3,12.57,0.0,32.2,17,0.173469,12,0.122449,5,0.05102,0.92,0.0,4,0.307692,0,0.0
origin_route,SJU,ORD,,,ORD→SJU,,,2024-01-01,2024-12-31,1204,1196,8,5,0.006645,74,0.061873,19,0.015886,5.98,-4.0,41.0,14.57,0.0,34.0,224,0.187291,135,0.112876,75,0.062709,-0.32,0.0,9,0.066176,0,0.0
origin_route,SJU,ORF,,,ORF→SJU,,,2024-01-01,2024-12-31,27,26,1,0,0.037037,5,0.192308,1,0.038462,51.81,-2.5,78.0,57.65,4.0,87.0,8,0.307692,7,0.269231,4,0.153846,-3.85,0.0,0,0.0,0,0.0
origin_route,SJU,PBI,,,PBI→SJU,,,2024-01-01,2024-12-31,4,3,1,0,0.25,0,0.0,0,0.0,8.67,10.0,35.6,14.0,4.0,31.2,1,0.333333,1,0.333333,0,0.0,-3.33,-4.0,0,0.0,0,
origin_route,SJU,PHL,,,PHL→SJU,,,2024-01-01,2024-12-31,1443,1419,24,6,0.016632,166,0.116984,25,0.017618,19.93,4.0,68.8,23.34,0.0,64.0,413,0.29105,277,0.195208,154,0.108527,-3.96,0.0,21,0.075269,4,0.025478
origin_route,SJU,PVD,,,PVD→SJU,,,2024-01-01,2024-12-31,64,64,0,1,0.0,2,0.03125,0,0.0,-1.63,-5.0,25.4,7.25,0.0,20.6,8,0.125,3,0.046875,1,0.015625,-1.7,0.0,0,0.0,0,0.0
origin_route,SJU,RDU,,,RDU→SJU,,,2024-01-01,2024-12-31,575,567,8,2,0.013913,84,0.148148,14,0.024691,21.06,-2.0,79.6,30.11,3.0,88.8,193,0.340388,140,0.246914,84,0.148148,0.91,0.0,9,0.06338,0,0.0
origin_route,SJU,RSW,,,RSW→SJU,,,2024-01-01,2024-12-31,116,112,4,0,0.034483,9,0.080357,2,0.017857,5.41,-11.0,45.3,16.77,0.0,45.9,23,0.205357,17,0.151786,9,0.080357,0.21,0.0,1,0.055556,0,0.0
origin_route,SJU,STL,,,STL→SJU,,,2024-01-01,2024-12-31,39,39,0,0,0.0,3,0.076923,0,0.0,8.41,3.0,38.2,10.85,3.0,31.4,9,0.230769,4,0.102564,2,0.051282,-2.85,0.0,0,0.0,0,0.0
origin_route,SJU,STT,,,STT→SJU,,,2024-01-01,2024-12-31,755,740,15,2,0.019868,76,0.102703,13,0.017568,13.5,-5.0,64.3,21.92,0.0,62.0,187,0.252703,129,0.174324,76,0.102703,-0.77,0.0,2,0.015152,0,0.0
origin_route,SJU,STX,,,STX→SJU,,,2024-01-01,2024-12-31,33,33,0,0,0.0,2,0.060606,0,0.0,11.61,0.0,34.0,11.3,0.0,26.6,6,0.181818,3,0.090909,2,0.060606,-4.06,0.0,0,0.0,0,0.0
origin_route,SJU,TPA,,,TPA→SJU,,,2024-01-01,2024-12-31,1556,1533,23,2,0.014781,97,0.063275,21,0.013699,6.33,-5.0,39.0,16.54,0.0,46.0,340,0.221787,221,0.144162,117,0.076321,2.43,0.0,5,0.022222,0,0.0
origin_airline_route,SJU,ATL,DL,,ATL→SJU DL,,,2024-01-01,2024-12-31,1639,1634,5,3,0.003051,75,0.0459,6,0.003672,4.85,-3.0,33.0,9.83,0.0,29.0,266,0.162791,158,0.096695,74,0.045288,-1.01,0.0,5,0.031056,0,0.0
origin_airline_route,SJU,ATL,F9,,ATL→SJU F9,,,2024-01-01,2024-12-31,189,186,3,1,0.015873,27,0.145161,2,0.010753,24.0,7.0,86.8,31.81,7.0,87.4,81,0.435484,54,0.290323,30,0.16129,2.16,0.0,2,0.037037,0,0.0
origin_airline_route,SJU,ATL,NK,,ATL→SJU NK,,,2024-01-01,2024-12-31,289,288,1,1,0.00346,33,0.114583,6,0.020833,15.35,-3.0,67.4,25.55,3.0,66.4,101,0.350694,61,0.211806,33,0.114583,2.51,0.0,2,0.032258,0,0.0
origin_airline_route,SJU,AUS,WN,,AUS→SJU WN,,,2024-01-01,2024-12-31,30,30,0,0,0.0,2,0.066667,0,0.0,10.1,-2.0,40.6,18.77,5.5,42.2,9,0.3,8,0.266667,2,0.066667,3.73,3.5,0,0.0,0,0.0
origin_airline_route,SJU,BDL,B6,,BDL→SJU B6,,,2024-01-01,2024-12-31,654,646,8,1,0.012232,101,0.156347,17,0.026316,19.34,1.0,88.8,28.83,9.0,87.8,255,0.394737,176,0.272446,100,0.154799,1.95,0.0,11,0.062147,0,0.0
origin_airline_route,SJU,BDL,F9,,BDL→SJU F9,,,2024-01-01,2024-12-31,342,331,11,1,0.032164,71,0.214502,10,0.030211,46.88,18.5,96.3,49.78,17.5,87.2,167,0.504532,119,0.359517,58,0.175227,-3.49,0.0,3,0.025,1,0.016667
origin_airline_route,SJU,BDL,NK,,BDL→SJU NK,,,2024-01-01,2024-12-31,4,4,0,0,0.0,1,0.25,1,0.25,43.0,-3.0,137.3,52.5,4.0,143.8,1,0.25,1,0.25,1,0.25,2.75,4.0,0,0.0,0,0.0
origin_airline_route,SJU,BNA,WN,,BNA→SJU WN,,,2024-01-01,2024-12-31,48,48,0,0,0.0,1,0.020833,0,0.0,7.27,4.0,29.0,11.21,5.5,31.0,12,0.25,6,0.125,1,0.020833,1.17,0.0,0,0.0,0,0.0
origin_airline_route,SJU,BOS,B6,,BOS→SJU B6,,,2024-01-01,2024-12-31,1253,1246,7,1,0.005587,154,0.123596,31,0.02488,18.88,1.0,74.0,23.36,3.0,67.0,370,0.29695,250,0.200642,142,0.113965,-1.94,0.0,8,0.031621,0,0.0
origin_airline_route,SJU,BOS,DL,,BOS→SJU DL,,,2024-01-01,2024-12-31,392,391,1,0,0.002551,19,0.048593,1,0.002558,0.61,-7.0,33.0,9.94,0.0,28.0,70,0.179028,35,0.089514,16,0.040921,-0.82,0.0,2,0.054054,0,0.0
origin_airline_route,SJU,BOS,F9,,BOS→SJU F9,,,2024-01-01,2024-12-31,114,110,4,2,0.035088,18,0.163636,6,0.054545,51.68,17.0,79.3,52.28,11.0,84.2,48,0.436364,34,0.309091,16,0.145455,-2.97,0.0,0,0.0,0,0.0
origin_airline_route,SJU,BOS,NK,,BOS→SJU NK,,,2024-01-01,2024-12-31,281,267,14,0,0.049822,50,0.187266,8,0.029963,27.91,4.0,94.4,37.98,9.0,92.4,115,0.430712,83,0.310861,58,0.217228,2.24,0.0,5,0.058824,1,0.016667
