level,dest,origin,airline,flight_number,route,scheduled_departure_bucket,scheduled_departure_hour,data_period_start,data_period_end,total_scheduled_flights,completed_flights,cancelled_count,diverted_count,cancellation_rate,delay_over_60min_count,delay_over_60min_rate,delay_over_180min_count,delay_over_180min_rate,avg_arrival_delay_minutes,median_arrival_delay_minutes,p90_arrival_delay_minutes,avg_departure_delay_minutes,median_departure_delay_minutes,p90_departure_delay_minutes,departure_delay_over_15min_count,departure_delay_over_15min_rate,departure_delay_over_30min_count,departure_delay_over_30min_rate,departure_delay_over_60min_count,departure_delay_over_60min_rate,avg_delay_recovery_minutes,median_delay_recovery_minutes,recovered_from_30min_departure_delay_count,recovered_from_30min_departure_delay_rate,recovered_from_60min_departure_delay_count,recovered_from_60min_departure_delay_rate
airport_total,SLC,,,,,,,2024-01-01,2024-12-31,113239,112528,711,130,0.006279,5951,0.052885,1383,0.01229,1.91,-9.0,29.0,12.93,0.0,33.0,17856,0.158681,11766,0.104561,6316,0.056128,0.75,0.0,432,0.035889,17,0.00264
origin_route,SLC,ABQ,,,ABQ→SLC,,,2024-01-01,2024-12-31,1054,1050,4,1,0.003795,25,0.02381,5,0.004762,-6.86,-13.0,10.0,6.04,0.0,10.2,91,0.086667,53,0.050476,27,0.025714,0.29,0.0,0,0.0,0,0.0
origin_route,SLC,ANC,,,ANC→SLC,,,2024-01-01,2024-12-31,121,119,2,0,0.016529,3,0.02521,1,0.008403,-2.59,-8.0,21.2,7.97,0.0,23.2,17,0.142857,7,0.058824,4,0.033613,0.26,0.0,0,0.0,0,0.0
origin_route,SLC,ATL,,,ATL→SLC,,,2024-01-01,2024-12-31,2984,2966,18,5,0.006032,126,0.042481,18,0.006069,0.12,-9.0,27.0,11.69,0.0,32.0,539,0.181726,308,0.103844,143,0.048213,1.48,0.0,21,0.065831,1,0.006757
origin_route,SLC,AUS,,,AUS→SLC,,,2024-01-01,2024-12-31,1753,1744,9,4,0.005134,93,0.053326,23,0.013188,3.71,-8.0,31.0,14.11,0.0,36.0,316,0.181193,204,0.116972,106,0.06078,0.96,0.0,4,0.018868,0,0.0
origin_route,SLC,BIL,,,BIL→SLC,,,2024-01-01,2024-12-31,1037,1031,6,0,0.005786,38,0.036857,11,0.010669,-1.51,-10.0,16.0,7.44,0.0,7.0,81,0.078565,62,0.060136,34,0.032978,-1.22,0.0,0,0.0,0,0.0
origin_route,SLC,BNA,,,BNA→SLC,,,2024-01-01,2024-12-31,1012,1005,7,0,0.006917,29,0.028856,8,0.00796,-4.26,-11.0,16.0,7.51,0.0,17.6,107,0.106468,65,0.064677,30,0.029851,0.18,0.0,3,0.046154,0,0.0
origin_route,SLC,BOI,,,BOI→SLC,,,2024-01-01,2024-12-31,1672,1665,7,0,0.004187,88,0.052853,18,0.010811,1.12,-11.0,26.0,12.07,0.0,26.0,240,0.144144,155,0.093093,89,0.053453,0.2,0.0,1,0.00641,0,0.0
origin_route,SLC,BOS,,,BOS→SLC,,,2024-01-01,2024-12-31,1299,1292,7,3,0.005389,89,0.068885,25,0.01935,3.19,-8.0,39.2,17.75,0.0,48.2,278,0.21517,184,0.142415,101,0.078173,2.37,0.0,28,0.146597,2,0.018868
origin_route,SLC,BTM,,,BTM→SLC,,,2024-01-01,2024-12-31,690,690,0,0,0.0,14,0.02029,4,0.005797,-14.18,-23.0,3.0,7.27,0.0,0.0,40,0.057971,32,0.046377,16,0.023188,0.08,0.0,1,0.030303,0,0.0
origin_route,SLC,BUR,,,BUR→SLC,,,2024-01-01,2024-12-31,1353,1351,2,3,0.001478,54,0.03997,22,0.016284,1.96,-9.0,19.0,12.58,0.0,22.0,167,0.123612,118,0.087343,60,0.044412,0.67,0.0,1,0.008403,0,0.0
origin_route,SLC,BWI,,,BWI→SLC,,,2024-01-01,2024-12-31,724,720,4,0,0.005525,30,0.041667,6,0.008333,2.67,-6.0,29.0,14.31,2.0,32.0,166,0.230556,80,0.111111,29,0.040278,1.82,0.0,12,0.141176,0,0.0
origin_route,SLC,BZN,,,BZN→SLC,,,2024-01-01,2024-12-31,1169,1164,5,0,0.004277,64,0.054983,16,0.013746,1.52,-10.0,21.7,11.23,0.0,22.7,138,0.118557,96,0.082474,59,0.050687,-0.38,0.0,1,0.010309,0,0.0
origin_route,SLC,CDC,,,CDC→SLC,,,2024-01-01,2024-12-31,629,624,5,0,0.007949,34,0.054487,11,0.017628,-1.8,-14.0,16.7,11.55,0.0,15.7,63,0.100962,52,0.083333,37,0.059295,0.15,0.0,1,0.018868,0,0.0
origin_route,SLC,CLE,,,CLE→SLC,,,2024-01-01,2024-12-31,106,102,4,0,0.037736,8,0.078431,0,0.0,4.82,-1.0,47.7,16.32,0.5,57.5,32,0.313725,24,0.235294,9,0.088235,2.78,0.0,2,0.083333,0,0.0
